#Ches2-H-age1_Kelley.1983											
N	mm	vv	tt	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
32	3.541169	0.00094919	0	4.585	NA	0	linear	1	no	mollusk	Chesapecten_nefrens
17	3.577478	0.004197801	0.42	NA	NA	0.42	NA	NA	NA	NA	NA
17	3.544212	0.001321377	1.186	NA	NA	1.186	NA	NA	NA	NA	NA
32	3.536053	0.000914236	1.209	NA	NA	1.209	NA	NA	NA	NA	NA
52	3.568121	0.002108017	1.231	NA	NA	1.231	NA	NA	NA	NA	NA
36	3.557648	0.001592202	1.254	NA	NA	1.254	NA	NA	NA	NA	NA
26	3.528099	0.00158414	1.276	NA	NA	1.276	NA	NA	NA	NA	NA
18	3.538196	0.001800778	1.299	NA	NA	1.299	NA	NA	NA	NA	NA
8	3.531757	0.001380592	1.3325	NA	NA	1.3325	NA	NA	NA	NA	NA
42	3.517062	0.001940726	1.816	NA	NA	1.816	NA	NA	NA	NA	NA
11	3.541732	0.00159945	1.909	NA	NA	1.909	NA	NA	NA	NA	NA
32	3.545233	0.002218407	2.003	NA	NA	2.003	NA	NA	NA	NA	NA
12	3.562133	0.00353459	2.065	NA	NA	2.065	NA	NA	NA	NA	NA
6	3.5256	0.003571643	2.127	NA	NA	2.127	NA	NA	NA	NA	NA
8	3.555972	0.001316909	4.585	NA	NA	4.585	NA	NA	NA	NA	NA
