#Ches2-LAAU-age1_Kelley.1983											
N	mm	vv	tt	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
25	2.403064	0.00850625	0	4.585	NA	0	linear	1	no	mollusk	Chesapecten_nefrens
13	2.577782	0.119956148	0.42	NA	NA	0.42	NA	NA	NA	NA	NA
16	2.453225	0.003591072	1.186	NA	NA	1.186	NA	NA	NA	NA	NA
27	2.487076	0.004947955	1.209	NA	NA	1.209	NA	NA	NA	NA	NA
40	2.441934	0.010966719	1.231	NA	NA	1.231	NA	NA	NA	NA	NA
30	2.417665	0.008865506	1.254	NA	NA	1.254	NA	NA	NA	NA	NA
26	2.383361	0.00884574	1.276	NA	NA	1.276	NA	NA	NA	NA	NA
14	2.400863	0.010106327	1.299	NA	NA	1.299	NA	NA	NA	NA	NA
7	2.446874	0.004197263	1.3325	NA	NA	1.3325	NA	NA	NA	NA	NA
32	2.45598	0.006943865	1.816	NA	NA	1.816	NA	NA	NA	NA	NA
9	2.553661	0.016387155	1.909	NA	NA	1.909	NA	NA	NA	NA	NA
24	2.466955	0.002803403	2.003	NA	NA	2.003	NA	NA	NA	NA	NA
9	2.472616	0.007554737	2.065	NA	NA	2.065	NA	NA	NA	NA	NA
5	2.448736	0.000216294	2.127	NA	NA	2.127	NA	NA	NA	NA	NA
8	2.352542	0.00148137	4.585	NA	NA	4.585	NA	NA	NA	NA	NA
