#Ches2-LPAU-age1_Kelley.1983											
N	mm	vv	tt	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
31	2.19215	0.010997237	0	4.585	NA	0	linear	1	no	mollusk	Chesapecten_nefrens
13	2.171481	0.121410047	0.42	NA	NA	0.42	NA	NA	NA	NA	NA
14	2.209898	0.0129038	1.186	NA	NA	1.186	NA	NA	NA	NA	NA
30	2.270893	0.005388916	1.209	NA	NA	1.209	NA	NA	NA	NA	NA
42	2.158238	0.013670307	1.231	NA	NA	1.231	NA	NA	NA	NA	NA
34	2.187667	0.010675427	1.254	NA	NA	1.254	NA	NA	NA	NA	NA
24	2.171447	0.007711827	1.276	NA	NA	1.276	NA	NA	NA	NA	NA
15	2.229358	0.030230593	1.299	NA	NA	1.299	NA	NA	NA	NA	NA
6	2.277761	0.021980147	1.3325	NA	NA	1.3325	NA	NA	NA	NA	NA
40	2.250498	0.009429463	1.816	NA	NA	1.816	NA	NA	NA	NA	NA
10	2.223948	0.016456983	1.909	NA	NA	1.909	NA	NA	NA	NA	NA
26	2.273859	0.008436519	2.003	NA	NA	2.003	NA	NA	NA	NA	NA
9	2.23863	0.009924987	2.065	NA	NA	2.065	NA	NA	NA	NA	NA
8	2.217275	0.014222561	2.127	NA	NA	2.127	NA	NA	NA	NA	NA
8	2.024481	0.003126062	4.585	NA	NA	4.585	NA	NA	NA	NA	NA
