#Ches2-LRES-age1_Kelley.1983											
N	mm	vv	tt	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
32	0.4499414	0.04814946	0	4.585	NA	0	linear	1	no	mollusk	Chesapecten_nefrens
16	0.5197173	0.44471682	0.42	NA	NA	0.42	NA	NA	NA	NA	NA
16	0.4705503	0.05780501	1.186	NA	NA	1.186	NA	NA	NA	NA	NA
28	0.4975292	0.0524467	1.209	NA	NA	1.209	NA	NA	NA	NA	NA
42	0.5237007	0.03128193	1.231	NA	NA	1.231	NA	NA	NA	NA	NA
34	0.4819495	0.06108879	1.254	NA	NA	1.254	NA	NA	NA	NA	NA
28	0.4572955	0.05926166	1.276	NA	NA	1.276	NA	NA	NA	NA	NA
15	0.5721436	0.07879366	1.299	NA	NA	1.299	NA	NA	NA	NA	NA
6	0.5071968	0.1608234	1.3325	NA	NA	1.3325	NA	NA	NA	NA	NA
39	0.3287464	0.05622564	1.816	NA	NA	1.816	NA	NA	NA	NA	NA
10	0.6911938	0.08669131	1.909	NA	NA	1.909	NA	NA	NA	NA	NA
29	0.5493942	0.02540359	2.003	NA	NA	2.003	NA	NA	NA	NA	NA
11	0.5999483	0.04302233	2.065	NA	NA	2.065	NA	NA	NA	NA	NA
7	0.5625353	0.06235176	2.127	NA	NA	2.127	NA	NA	NA	NA	NA
8	0.4252006	0.05018573	4.585	NA	NA	4.585	NA	NA	NA	NA	NA
