#Ches2-NAR-age1_Kelley.1983											
N	mm	vv	tt	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
23	2.528007	0.0182197	0	4.585	NA	0	linear	1	no	mollusk	Chesapecten_nefrens
13	2.640744	0.19460478	0.42	NA	NA	0.42	NA	NA	NA	NA	NA
13	2.450765	0.01686755	1.186	NA	NA	1.186	NA	NA	NA	NA	NA
30	2.491251	0.06793502	1.209	NA	NA	1.209	NA	NA	NA	NA	NA
40	2.532004	0.03824377	1.231	NA	NA	1.231	NA	NA	NA	NA	NA
31	2.551445	0.04155143	1.254	NA	NA	1.254	NA	NA	NA	NA	NA
29	2.502484	0.05787868	1.276	NA	NA	1.276	NA	NA	NA	NA	NA
17	2.502275	0.04513818	1.299	NA	NA	1.299	NA	NA	NA	NA	NA
7	2.501788	0.04627693	1.3325	NA	NA	1.3325	NA	NA	NA	NA	NA
35	2.455008	0.06839056	1.816	NA	NA	1.816	NA	NA	NA	NA	NA
9	2.4595	0.03887019	1.909	NA	NA	1.909	NA	NA	NA	NA	NA
28	2.456489	0.03877272	2.003	NA	NA	2.003	NA	NA	NA	NA	NA
9	2.520021	0.03490845	2.065	NA	NA	2.065	NA	NA	NA	NA	NA
6	2.445676	0.03424038	2.127	NA	NA	2.127	NA	NA	NA	NA	NA
7	2.25823	0.01389004	4.585	NA	NA	4.585	NA	NA	NA	NA	NA
