#Ches2-NR-age1_Kelley.1983											
N	mm	vv	tt	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
34	2.716081	0.005973277	0	4.585	NA	0	linear	1	no	mollusk	Chesapecten_nefrens
17	2.76638	0.015396162	0.42	NA	NA	0.42	NA	NA	NA	NA	NA
18	2.750974	0.010822642	1.186	NA	NA	1.186	NA	NA	NA	NA	NA
32	2.727125	0.003619485	1.209	NA	NA	1.209	NA	NA	NA	NA	NA
49	2.781556	0.003438796	1.231	NA	NA	1.231	NA	NA	NA	NA	NA
37	2.75343	0.004752645	1.254	NA	NA	1.254	NA	NA	NA	NA	NA
30	2.746241	0.002139254	1.276	NA	NA	1.276	NA	NA	NA	NA	NA
18	2.740049	0.006172955	1.299	NA	NA	1.299	NA	NA	NA	NA	NA
8	2.720653	0.012320544	1.3325	NA	NA	1.3325	NA	NA	NA	NA	NA
43	2.728251	0.00882691	1.816	NA	NA	1.816	NA	NA	NA	NA	NA
11	2.640685	0.019125483	1.909	NA	NA	1.909	NA	NA	NA	NA	NA
33	2.755548	0.003903845	2.003	NA	NA	2.003	NA	NA	NA	NA	NA
12	2.818545	0.00529441	2.065	NA	NA	2.065	NA	NA	NA	NA	NA
8	2.766911	0.006849465	2.127	NA	NA	2.127	NA	NA	NA	NA	NA
8	2.755587	0.004087925	4.585	NA	NA	4.585	NA	NA	NA	NA	NA
