#Ches2-W-age1_Kelley.1983											
N	mm	vv	tt	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
34	1.786493	0.020529381	0	4.585	NA	0	linear	1	no	mollusk	Chesapecten_nefrens
17	1.900857	0.053600127	0.42	NA	NA	0.42	NA	NA	NA	NA	NA
18	1.699668	0.012130985	1.186	NA	NA	1.186	NA	NA	NA	NA	NA
31	1.786918	0.010862747	1.209	NA	NA	1.209	NA	NA	NA	NA	NA
46	1.768267	0.014941345	1.231	NA	NA	1.231	NA	NA	NA	NA	NA
37	1.782488	0.011011851	1.254	NA	NA	1.254	NA	NA	NA	NA	NA
28	1.739617	0.015566386	1.276	NA	NA	1.276	NA	NA	NA	NA	NA
18	1.777566	0.024400416	1.299	NA	NA	1.299	NA	NA	NA	NA	NA
8	1.859583	0.048167299	1.3325	NA	NA	1.3325	NA	NA	NA	NA	NA
42	1.755726	0.023650198	1.816	NA	NA	1.816	NA	NA	NA	NA	NA
11	1.836927	0.038926446	1.909	NA	NA	1.909	NA	NA	NA	NA	NA
33	1.793751	0.01569919	2.003	NA	NA	2.003	NA	NA	NA	NA	NA
12	1.855261	0.02203456	2.065	NA	NA	2.065	NA	NA	NA	NA	NA
8	1.664013	0.009649139	2.127	NA	NA	2.127	NA	NA	NA	NA	NA
8	1.859143	0.006904641	4.585	NA	NA	4.585	NA	NA	NA	NA	NA
