#Kellogg 1975 mean thoracic width											
N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
42	89.7105	131.4339201	-1763.61	2.5	0.003647026	0	linear	1	no	radiolaria	Pseudocubus_vema
51	89.3357	177.5690742	-1741.61	NA	NA	0.080234577	NA	NA	NA	NA	NA
81	93.3303	118.9373862	-1720.9	NA	NA	0.15576449	NA	NA	NA	NA	NA
64	86.1156	101.6393169	-1701.23	NA	NA	0.227501495	NA	NA	NA	NA	NA
69	94.7648	155.7573527	-1680.09	NA	NA	0.304599629	NA	NA	NA	NA	NA
60	88.5025	68.21334375	-1650.16	NA	NA	0.413755124	NA	NA	NA	NA	NA
50	92.2121	62.12996567	-1629.48	NA	NA	0.489175626	NA	NA	NA	NA	NA
59	89.7471	90.11471786	-1609.37	NA	NA	0.562517323	NA	NA	NA	NA	NA
49	99.0609	60.87064672	-1589.86	NA	NA	0.633670805	NA	NA	NA	NA	NA
67	105.335	76.2189574	-1568.94	NA	NA	0.709966593	NA	NA	NA	NA	NA
51	106.29	118.8450812	-1546.82	NA	NA	0.790638813	NA	NA	NA	NA	NA
47	103.73	143.0994377	-1528.41	NA	NA	0.857780566	NA	NA	NA	NA	NA
41	105.159	98.63223656	-1509.64	NA	NA	0.926235248	NA	NA	NA	NA	NA
58	106.59	88.60197899	-1487.47	NA	NA	1.007089819	NA	NA	NA	NA	NA
54	107.735	133.9537499	-1465.33	NA	NA	1.087834979	NA	NA	NA	NA	NA
40	105.744	108.6307788	-1446.87	NA	NA	1.155159083	NA	NA	NA	NA	NA
73	107.649	115.8854145	-1426.36	NA	NA	1.229959591	NA	NA	NA	NA	NA
41	105.374	114.6105501	-1404.53	NA	NA	1.309574173	NA	NA	NA	NA	NA
64	107.089	173.8092462	-1384.03	NA	NA	1.384338211	NA	NA	NA	NA	NA
34	104.053	184.0091054	-1367.37	NA	NA	1.445097667	NA	NA	NA	NA	NA
38	108.048	172.7906002	-1344.96	NA	NA	1.526827525	NA	NA	NA	NA	NA
41	108.718	245.6414661	-1324.56	NA	NA	1.60122686	NA	NA	NA	NA	NA
59	114.897	194.9169536	-1303.65	NA	NA	1.677486178	NA	NA	NA	NA	NA
74	117.277	219.0255143	-1283.09	NA	NA	1.752469037	NA	NA	NA	NA	NA
50	112.627	192.6203794	-1263.18	NA	NA	1.825081329	NA	NA	NA	NA	NA
75	118.902	241.0752551	-1240.57	NA	NA	1.907540591	NA	NA	NA	NA	NA
70	113.303	195.6765488	-1219.05	NA	NA	1.986024596	NA	NA	NA	NA	NA
36	109.412	228.6421724	-1200.77	NA	NA	2.052692235	NA	NA	NA	NA	NA
47	114.166	243.8002166	-1181.68	NA	NA	2.122313965	NA	NA	NA	NA	NA
42	115.977	266.749201	-1159.48	NA	NA	2.203277947	NA	NA	NA	NA	NA
60	119.401	231.1444556	-1140.52	NA	NA	2.272425564	NA	NA	NA	NA	NA
75	118.36	221.9194914	-1121.98	NA	NA	2.34004143	NA	NA	NA	NA	NA
40	123.59	181.8848423	-1099.46	NA	NA	2.422172461	NA	NA	NA	NA	NA
75	134.424	289.0056797	-1078.12	NA	NA	2.5	NA	NA	NA	NA	NA
