#Kellogg 1976 E. calvertense											
N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
25	93.696	59.27428676	3.7849	3.66657	0	3.7849	linear	1	no	radiolaria	Eucyrtidium_calvertense
25	95.41	112.4844222	3.747	NA	NA	3.747	NA	NA	NA	NA	NA
5	92.431	11.07846503	3.7116	NA	NA	3.7116	NA	NA	NA	NA	NA
19	91.765	58.42524235	3.6736	NA	NA	3.6736	NA	NA	NA	NA	NA
13	89.221	76.1588838	3.6373	NA	NA	3.6373	NA	NA	NA	NA	NA
25	91.136	37.9229748	3.5994	NA	NA	3.5994	NA	NA	NA	NA	NA
20	89.263	139.6938776	3.5605	NA	NA	3.5605	NA	NA	NA	NA	NA
25	100.8	145.3500885	3.5193	NA	NA	3.5193	NA	NA	NA	NA	NA
18	96.213	109.2407904	3.4821	NA	NA	3.4821	NA	NA	NA	NA	NA
25	90.35	132.3380248	3.4448	NA	NA	3.4448	NA	NA	NA	NA	NA
26	93.707	138.6711939	3.4096	NA	NA	3.4096	NA	NA	NA	NA	NA
25	100.89	51.00218822	3.37	NA	NA	3.37	NA	NA	NA	NA	NA
23	93.682	162.7637724	3.3318	NA	NA	3.3318	NA	NA	NA	NA	NA
25	98.352	71.8169773	3.2569	NA	NA	3.2569	NA	NA	NA	NA	NA
16	94.467	88.5327374	3.217	NA	NA	3.217	NA	NA	NA	NA	NA
25	94.505	42.81565624	3.1791	NA	NA	3.1791	NA	NA	NA	NA	NA
20	91.525	114.7107247	3.141	NA	NA	3.141	NA	NA	NA	NA	NA
12	94.221	104.5022574	3.0271	NA	NA	3.0271	NA	NA	NA	NA	NA
17	91.61	157.6138609	2.9882	NA	NA	2.9882	NA	NA	NA	NA	NA
12	86.786	133.5238776	2.9519	NA	NA	2.9519	NA	NA	NA	NA	NA
25	92.659	225.3445195	2.9141	NA	NA	2.9141	NA	NA	NA	NA	NA
20	85.79	136.1301658	2.875	NA	NA	2.875	NA	NA	NA	NA	NA
32	89.449	112.2858163	2.8354	NA	NA	2.8354	NA	NA	NA	NA	NA
25	89.789	146.4902661	2.7983	NA	NA	2.7983	NA	NA	NA	NA	NA
22	92.677	82.19494729	2.7595	NA	NA	2.7595	NA	NA	NA	NA	NA
25	95.833	86.91281139	2.7234	NA	NA	2.7234	NA	NA	NA	NA	NA
25	98.486	72.38016061	2.6828	NA	NA	2.6828	NA	NA	NA	NA	NA
25	91.751	133.3376864	2.6491	NA	NA	2.6491	NA	NA	NA	NA	NA
25	93.801	113.3790348	2.6085	NA	NA	2.6085	NA	NA	NA	NA	NA
15	89.82	58.5698498	2.5316	NA	NA	2.5316	NA	NA	NA	NA	NA
15	91.836	101.4198989	2.4954	NA	NA	2.4954	NA	NA	NA	NA	NA
19	92.41	71.62504549	2.4565	NA	NA	2.4565	NA	NA	NA	NA	NA
15	90.812	62.1619898	2.2967	NA	NA	2.2967	NA	NA	NA	NA	NA
25	91.085	84.52738442	2.191	NA	NA	2.191	NA	NA	NA	NA	NA
14	89.782	75.77842566	2.0947	NA	NA	2.0947	NA	NA	NA	NA	NA
19	89.619	77.42189524	1.9984	NA	NA	1.9984	NA	NA	NA	NA	NA
59	87.475	62.14124395	1.942	NA	NA	1.942	NA	NA	NA	NA	NA
14	83.487	100.3507881	1.8924	NA	NA	1.8924	NA	NA	NA	NA	NA
68	80.412	49.72156601	1.6686	NA	NA	1.6686	NA	NA	NA	NA	NA
48	84.373	44.04422636	1.5622	NA	NA	1.5622	NA	NA	NA	NA	NA
59	85.418	33.41364926	1.3938	NA	NA	1.3938	NA	NA	NA	NA	NA
81	84.386	50.13506976	1.228	NA	NA	1.228	NA	NA	NA	NA	NA
51	82.178	0.411626991	1.1115	NA	NA	1.1115	NA	NA	NA	NA	NA
32	77.121	20.6895127	0.94589	NA	NA	0.94589	NA	NA	NA	NA	NA
29	75.684	16.05826876	0.83746	NA	NA	0.83746	NA	NA	NA	NA	NA
20	74.917	23.59767284	0.73511	NA	NA	0.73511	NA	NA	NA	NA	NA
11	80.591	54.39445667	0.58253	NA	NA	0.58253	NA	NA	NA	NA	NA
18	78.382	30.02729605	0.47308	NA	NA	0.47308	NA	NA	NA	NA	NA
8	78.029	26.30344856	0.11833	NA	NA	0.11833	NA	NA	NA	NA	NA
