#Kellogg 1976 E. matuyamai core V20-109											
N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
18	98.412	40.56890684	1.928733333	1.037516666	NA	1.928733333	linear	1	no	radiolaria	Eucyrtidium_matuyamai
10	99.68	58.34936029	1.900133333	NA	NA	1.900133333	NA	NA	NA	NA	NA
14	101.68	78.76530977	1.8721	NA	NA	1.8721	NA	NA	NA	NA	NA
13	95.062	72.76212958	1.844533333	NA	NA	1.844533333	NA	NA	NA	NA	NA
26	98.593	25.43272035	1.827633333	NA	NA	1.827633333	NA	NA	NA	NA	NA
18	107.04	70.72002551	1.812966667	NA	NA	1.812966667	NA	NA	NA	NA	NA
22	112.52	34.23483705	1.7414	NA	NA	1.7414	NA	NA	NA	NA	NA
12	109.2	124.1764629	1.7098	NA	NA	1.7098	NA	NA	NA	NA	NA
48	113.85	115.4718867	1.613833333	NA	NA	1.613833333	NA	NA	NA	NA	NA
20	124.03	105.8938984	1.599333333	NA	NA	1.599333333	NA	NA	NA	NA	NA
19	117.38	55.17399	1.554166667	NA	NA	1.554166667	NA	NA	NA	NA	NA
8	126.13	113.4202416	1.496533333	NA	NA	1.496533333	NA	NA	NA	NA	NA
8	126.38	135.2844648	1.435166667	NA	NA	1.435166667	NA	NA	NA	NA	NA
9	116.81	268.2241774	1.3806	NA	NA	1.3806	NA	NA	NA	NA	NA
14	124.66	35.02186589	1.337533333	NA	NA	1.337533333	NA	NA	NA	NA	NA
56	128.13	75.44642857	1.308766667	NA	NA	1.308766667	NA	NA	NA	NA	NA
41	129.85	69.67123724	1.268233333	NA	NA	1.268233333	NA	NA	NA	NA	NA
56	129.34	78.4606414	1.235133333	NA	NA	1.235133333	NA	NA	NA	NA	NA
15	132.6	129.9962255	1.1499	NA	NA	1.1499	NA	NA	NA	NA	NA
21	133.65	154.423606	1.1232	NA	NA	1.1232	NA	NA	NA	NA	NA
44	134.04	72.73469388	1.094033333	NA	NA	1.094033333	NA	NA	NA	NA	NA
61	130.49	130.3367672	1.0214	NA	NA	1.0214	NA	NA	NA	NA	NA
24	131.47	57.16758642	0.977276667	NA	NA	0.977276667	NA	NA	NA	NA	NA
44	123.88	124.3515983	0.891216667	NA	NA	0.891216667	NA	NA	NA	NA	NA
