#Kellogg 1980 O. tetrathalamus cortical shell area											
N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
40	12.36	5.102040816	-1758.1	6	0.003427649	0	area	1	no	radiolaria	Ommatartus_tetrathalamus
36	14.961	2.53394419	-1675.8	NA	NA	0.282095488	NA	NA	NA	NA	NA
38	11.543	2.375	-1558.2	NA	NA	0.685186976	NA	NA	NA	NA	NA
51	10.804	4.779258642	-1476.4	NA	NA	0.96556864	NA	NA	NA	NA	NA
35	10.004	2.369251116	-1437.3	NA	NA	1.099589705	NA	NA	NA	NA	NA
24	8.7845	3.998334027	-1396.1	NA	NA	1.240808831	NA	NA	NA	NA	NA
41	9.5649	5.380833794	-1355.7	NA	NA	1.379285839	NA	NA	NA	NA	NA
23	10.605	2.300323438	-1317.5	NA	NA	1.51022202	NA	NA	NA	NA	NA
17	8.9458	1.593086214	-1278	NA	NA	1.645614144	NA	NA	NA	NA	NA
14	12.988	6.940233236	-1053.8	NA	NA	2.414092983	NA	NA	NA	NA	NA
35	10.711	11.42449016	-775.89	NA	NA	3.366670835	NA	NA	NA	NA	NA
10	11.152	3.324169623	-733.33	NA	NA	3.512551564	NA	NA	NA	NA	NA
32	10.732	2.899625156	-694.45	NA	NA	3.645818546	NA	NA	NA	NA	NA
18	10.353	1.801996149	-655.59	NA	NA	3.779016974	NA	NA	NA	NA	NA
15	10.573	2.023875478	-617	NA	NA	3.911289938	NA	NA	NA	NA	NA
9	11.194	4.723636511	-535.83	NA	NA	4.189512183	NA	NA	NA	NA	NA
7	12.955	4.548833819	-491.83	NA	NA	4.340328726	NA	NA	NA	NA	NA
10	12.595	8.340535194	-455.02	NA	NA	4.466500475	NA	NA	NA	NA	NA
9	12.335	4.461578509	-414.18	NA	NA	4.606485648	NA	NA	NA	NA	NA
14	10.717	1.786990024	-309.6	NA	NA	4.96494915	NA	NA	NA	NA	NA
19	10.758	1.286417118	-207.81	NA	NA	5.313849512	NA	NA	NA	NA	NA
30	10.359	3.610995419	-89.529	NA	NA	5.719275228	NA	NA	NA	NA	NA
43	9.3599	2.798313203	-7.6289	NA	NA	6	NA	NA	NA	NA	NA
