#Kellogg 1980 O. tetrathalamus cortical shell length											
N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
40	168.81	871.7461474	-1763.3	6	0.00344659	0	length	1	no	radiolaria	Ommatartus_tetrathalamus
36	197.29	699.5485214	-1685.7	NA	NA	0.2674554	NA	NA	NA	NA	NA
38	157.63	655.4208663	-1563.3	NA	NA	0.68931804	NA	NA	NA	NA	NA
51	146.44	878.5634827	-1481.6	NA	NA	0.97090446	NA	NA	NA	NA	NA
35	137.29	1038.225446	-1442.9	NA	NA	1.104287501	NA	NA	NA	NA	NA
24	136.27	466.9056122	-1404.1	NA	NA	1.238015201	NA	NA	NA	NA	NA
41	137.29	1335.191906	-1365.3	NA	NA	1.3717429	NA	NA	NA	NA	NA
23	146.44	749.679899	-1322.4	NA	NA	1.51960162	NA	NA	NA	NA	NA
47	127.12	1024.301723	-1283.7	NA	NA	1.652984661	NA	NA	NA	NA	NA
14	168.81	415.2901786	-1063.3	NA	NA	2.412613142	NA	NA	NA	NA	NA
35	137.29	850.1785714	-779.59	NA	NA	3.390445248	NA	NA	NA	NA	NA
10	140.34	325.9477822	-744.9	NA	NA	3.510007462	NA	NA	NA	NA	NA
31	130.17	352.5757757	-704.08	NA	NA	3.650697274	NA	NA	NA	NA	NA
18	131.19	310.0812292	-665.31	NA	NA	3.784321576	NA	NA	NA	NA	NA
15	139.32	403.8508694	-622.45	NA	NA	3.932042432	NA	NA	NA	NA	NA
9	138.31	155.0406146	-544.9	NA	NA	4.199325502	NA	NA	NA	NA	NA
7	137.29	207.6450893	-506.12	NA	NA	4.33298427	NA	NA	NA	NA	NA
10	138.31	325.6565624	-461.22	NA	NA	4.48773617	NA	NA	NA	NA	NA
9	156.61	5817.175161	-422.45	NA	NA	4.621360473	NA	NA	NA	NA	NA
14	131.19	498.4439687	-302.04	NA	NA	5.036364399	NA	NA	NA	NA	NA
19	148.47	511.0415647	-218.37	NA	NA	5.324740601	NA	NA	NA	NA	NA
30	140.34	1364.809454	-97.959	NA	NA	5.739747974	NA	NA	NA	NA	NA
43	127.12	740.749603	-22.449	NA	NA	6	NA	NA	NA	NA	NA
