#Kellogg 1980 O. tetrathalamus minimal cortical shell width											
N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
38	82.918	399.0470079	-1762.3	6	0.003458363	0	linear	1	no	radiolaria	Ommatartus_tetrathalamus
36	82.798	139.7702999	-1681.5	NA	NA	0.27943571	NA	NA	NA	NA	NA
38	79.722	91.92716199	-1558.4	NA	NA	0.705160165	NA	NA	NA	NA	NA
31	76.859	70.08253827	-1481.7	NA	NA	0.970416589	NA	NA	NA	NA	NA
35	77.866	56.46510796	-1441.3	NA	NA	1.110134444	NA	NA	NA	NA	NA
24	72.979	37.16402124	-1403.1	NA	NA	1.242243901	NA	NA	NA	NA	NA
40	72.869	131.739369	-1364.7	NA	NA	1.375045031	NA	NA	NA	NA	NA
23	79.567	48.47668048	-1322	NA	NA	1.52271712	NA	NA	NA	NA	NA
17	70.005	16.5006604	-1280	NA	NA	1.667968356	NA	NA	NA	NA	NA
14	78.798	195.1377779	-1067.5	NA	NA	2.402870441	NA	NA	NA	NA	NA
35	73.958	186.342987	-786.91	NA	NA	3.373252446	NA	NA	NA	NA	NA
10	73.745	126.1518176	-744.5	NA	NA	3.51992161	NA	NA	NA	NA	NA
32	74.855	215.0907309	-708.09	NA	NA	3.645840598	NA	NA	NA	NA	NA
18	76.676	93.66335329	-669.63	NA	NA	3.77884923	NA	NA	NA	NA	NA
15	70.162	59.75535194	-625.45	NA	NA	3.931639696	NA	NA	NA	NA	NA
9	80.713	369.0515434	-548.25	NA	NA	4.198625301	NA	NA	NA	NA	NA
7	89.85	358.4706195	-507.48	NA	NA	4.33962275	NA	NA	NA	NA	NA
10	78.662	128.0069665	-465.51	NA	NA	4.484770235	NA	NA	NA	NA	NA
9	72.556	434.4672314	-429.39	NA	NA	4.609686298	NA	NA	NA	NA	NA
14	72.53	76.22777788	-312.22	NA	NA	5.014902661	NA	NA	NA	NA	NA
19	73.732	28.20396085	-233.38	NA	NA	5.287559981	NA	NA	NA	NA	NA
29	72.891	70.17795424	-112.21	NA	NA	5.706609796	NA	NA	NA	NA	NA
43	72.466	100.6385612	-27.375	NA	NA	6	NA	NA	NA	NA	NA
