#Kim et al 2009 distance											
N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
8	0.044363513	0.000146178	142.6	3	0.017045455	0	linear	1	no	trilobite	Triarthrus_beckii
6	0.04660705	0.000182913	156.6	NA	NA	0.238636364	NA	NA	NA	NA	NA
8	0.051568575	0.000255513	173.6	NA	NA	0.528409091	NA	NA	NA	NA	NA
46	0.05877852	0.000295058	183	NA	NA	0.688636364	NA	NA	NA	NA	NA
6	0.05320465	0.000183546	208	NA	NA	1.114772727	NA	NA	NA	NA	NA
10	0.05522401	0.00010804	213.1	NA	NA	1.201704545	NA	NA	NA	NA	NA
36	0.055656725	0.000228318	218.8	NA	NA	1.298863636	NA	NA	NA	NA	NA
14	0.075987014	0.000169152	225.8	NA	NA	1.418181818	NA	NA	NA	NA	NA
11	0.077257591	0.000394669	228.9	NA	NA	1.471022727	NA	NA	NA	NA	NA
10	0.08199168	0.000120294	231.1	NA	NA	1.508522727	NA	NA	NA	NA	NA
10	0.08215909	8.91E-05	255.8	NA	NA	1.929545455	NA	NA	NA	NA	NA
8	0.0756821	0.000193448	262.8	NA	NA	2.048863636	NA	NA	NA	NA	NA
7	0.077460971	0.000126702	270.4	NA	NA	2.178409091	NA	NA	NA	NA	NA
8	0.077719338	0.000171763	270.9	NA	NA	2.186931818	NA	NA	NA	NA	NA
8	0.071883913	0.000224213	272.6	NA	NA	2.215909091	NA	NA	NA	NA	NA
7	0.070590886	9.61E-05	307.4	NA	NA	2.809090909	NA	NA	NA	NA	NA
8	0.091256763	0.000127257	316.2	NA	NA	2.959090909	NA	NA	NA	NA	NA
8	0.0672115	9.12E-05	318.6	NA	NA	3	NA	NA	NA	NA	NA
