#Kim et al 2009 logCS											
N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
8	0.90619	0.016943374	142.6	3	0.017045455	0	area	1	yes	trilobite	Triarthrus_beckii
6	0.96608	0.01288346	156.6	NA	NA	0.238636364	NA	NA	NA	NA	NA
8	0.84417	0.020332403	173.6	NA	NA	0.528409091	NA	NA	NA	NA	NA
46	0.8496	0.023138979	183	NA	NA	0.688636364	NA	NA	NA	NA	NA
6	1.1269	0.013267977	208	NA	NA	1.114772727	NA	NA	NA	NA	NA
9	0.84575	0.012579869	213.1	NA	NA	1.201704545	NA	NA	NA	NA	NA
36	1.07531	0.025510472	218.8	NA	NA	1.298863636	NA	NA	NA	NA	NA
14	0.98159	0.010893629	225.8	NA	NA	1.418181818	NA	NA	NA	NA	NA
11	0.87227	0.009385371	228.9	NA	NA	1.471022727	NA	NA	NA	NA	NA
10	0.88541	0.014772176	231.1	NA	NA	1.508522727	NA	NA	NA	NA	NA
10	1.00637	0.004445125	255.8	NA	NA	1.929545455	NA	NA	NA	NA	NA
8	1.01627	0.011542084	262.8	NA	NA	2.048863636	NA	NA	NA	NA	NA
7	0.98533	0.014010441	270.4	NA	NA	2.178409091	NA	NA	NA	NA	NA
8	1.00744	0.006383805	270.9	NA	NA	2.186931818	NA	NA	NA	NA	NA
8	1.0021	0.009660768	272.6	NA	NA	2.215909091	NA	NA	NA	NA	NA
7	1.08166	0.038246096	307.4	NA	NA	2.809090909	NA	NA	NA	NA	NA
8	1.0104	0.0045898	316.2	NA	NA	2.959090909	NA	NA	NA	NA	NA
8	1.19803	0.0078355	318.6	NA	NA	3	NA	NA	NA	NA	NA
