#Knappertsbusch 2000 core 236 X											
N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
51	5.594	1.896129	18	18	NA	18	linear	1	no	coccolith	Calcidiscus_leptoporus
100	5.424	1.301881	14.31	NA	NA	14.31	NA	NA	NA	NA	NA
100	6.763	3.031081	13.81	NA	NA	13.81	NA	NA	NA	NA	NA
205	7.389	1.857769	12.8	NA	NA	12.8	NA	NA	NA	NA	NA
204	7.229	2.480625	12.11	NA	NA	12.11	NA	NA	NA	NA	NA
203	6.837	2.238016	11.09	NA	NA	11.09	NA	NA	NA	NA	NA
200	7.204	2.842596	9.76	NA	NA	9.76	NA	NA	NA	NA	NA
205	5.976	1.493284	7.79	NA	NA	7.79	NA	NA	NA	NA	NA
205	6.073	1.430416	7.58	NA	NA	7.58	NA	NA	NA	NA	NA
205	6.257	1.461681	6.66	NA	NA	6.66	NA	NA	NA	NA	NA
205	6.273	1.550025	4.98	NA	NA	4.98	NA	NA	NA	NA	NA
205	6.418	1.256641	4.5	NA	NA	4.5	NA	NA	NA	NA	NA
202	6.189	2.286144	3.3	NA	NA	3.3	NA	NA	NA	NA	NA
206	5.887	2.010724	2.01	NA	NA	2.01	NA	NA	NA	NA	NA
208	5.794	2.155024	1.8	NA	NA	1.8	NA	NA	NA	NA	NA
205	5.253	0.685584	0.49	NA	NA	0.49	NA	NA	NA	NA	NA
206	6.188	1.056784	0.39	NA	NA	0.39	NA	NA	NA	NA	NA
205	6.837	3.3489	0	NA	NA	0	NA	NA	NA	NA	NA
