#Knappertsbusch 2000 core 236 Y											
N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
51	23.255	31.158724	18	18	NA	18	linear	1	no	coccolith	Calcidiscus_leptoporus
100	23.79	39.100009	14.31	NA	NA	14.31	NA	NA	NA	NA	NA
100	28.88	65.626201	13.81	NA	NA	13.81	NA	NA	NA	NA	NA
205	33.62	21.762225	12.8	NA	NA	12.8	NA	NA	NA	NA	NA
204	30.696	57.942544	12.11	NA	NA	12.11	NA	NA	NA	NA	NA
203	28.236	72.846225	11.09	NA	NA	11.09	NA	NA	NA	NA	NA
200	29.85	79.174404	9.76	NA	NA	9.76	NA	NA	NA	NA	NA
205	23.293	34.3396	7.79	NA	NA	7.79	NA	NA	NA	NA	NA
205	24.088	38.526849	7.58	NA	NA	7.58	NA	NA	NA	NA	NA
205	25.62	36.699364	6.66	NA	NA	6.66	NA	NA	NA	NA	NA
205	23.883	27.815076	4.98	NA	NA	4.98	NA	NA	NA	NA	NA
205	27.985	27.520516	4.5	NA	NA	4.5	NA	NA	NA	NA	NA
202	24.619	53.406864	3.3	NA	NA	3.3	NA	NA	NA	NA	NA
206	22.403	38.950081	2.01	NA	NA	2.01	NA	NA	NA	NA	NA
208	22.163	30.074256	1.8	NA	NA	1.8	NA	NA	NA	NA	NA
205	23.483	14.130081	0.49	NA	NA	0.49	NA	NA	NA	NA	NA
206	24.519	16.621929	0.39	NA	NA	0.39	NA	NA	NA	NA	NA
205	26.629	23.561316	0	NA	NA	0	NA	NA	NA	NA	NA
