#Knappertsbusch 2000 core 251/251A X											
N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
201	6.676	1.868689	14.98	14.98	NA	14.98	linear	1	no	coccolith	Calcidiscus_leptoporus
206	7.618	1.929321	12.63	NA	NA	12.63	NA	NA	NA	NA	NA
207	7.772	4.264225	11.82	NA	NA	11.82	NA	NA	NA	NA	NA
200	7.786	1.784896	11.64	NA	NA	11.64	NA	NA	NA	NA	NA
204	8.162	1.5376	11.14	NA	NA	11.14	NA	NA	NA	NA	NA
203	7.681	2.524921	10.94	NA	NA	10.94	NA	NA	NA	NA	NA
203	8.612	2.512225	10.24	NA	NA	10.24	NA	NA	NA	NA	NA
200	7.971	1.982464	9.79	NA	NA	9.79	NA	NA	NA	NA	NA
205	7.563	2.117025	9.78	NA	NA	9.78	NA	NA	NA	NA	NA
205	7.793	4.260096	9.52	NA	NA	9.52	NA	NA	NA	NA	NA
206	6.883	2.3104	8.91	NA	NA	8.91	NA	NA	NA	NA	NA
204	8.216	4.264225	7.77	NA	NA	7.77	NA	NA	NA	NA	NA
201	8.778	4.571044	7.26	NA	NA	7.26	NA	NA	NA	NA	NA
208	7.269	1.510441	5.71	NA	NA	5.71	NA	NA	NA	NA	NA
202	8.05	1.907161	5.42	NA	NA	5.42	NA	NA	NA	NA	NA
211	5.615	1.7424	4.96	NA	NA	4.96	NA	NA	NA	NA	NA
208	6.375	2.265025	4.17	NA	NA	4.17	NA	NA	NA	NA	NA
205	7.455	4.575321	3.04	NA	NA	3.04	NA	NA	NA	NA	NA
207	6.357	1.946025	2.22	NA	NA	2.22	NA	NA	NA	NA	NA
52	5.615	1.7424	1.91	NA	NA	1.91	NA	NA	NA	NA	NA
172	6.437	3.258025	1.69	NA	NA	1.69	NA	NA	NA	NA	NA
200	6.616	2.653641	1.65	NA	NA	1.65	NA	NA	NA	NA	NA
200	6.471	1.567504	1.61	NA	NA	1.61	NA	NA	NA	NA	NA
161	6.789	1.806336	1.52	NA	NA	1.52	NA	NA	NA	NA	NA
200	6.871	2.079364	1.42	NA	NA	1.42	NA	NA	NA	NA	NA
200	6.172	2.365444	0.89	NA	NA	0.89	NA	NA	NA	NA	NA
200	6.407	0.925444	0.59	NA	NA	0.59	NA	NA	NA	NA	NA
207	6.17	1.656369	0.26	NA	NA	0.26	NA	NA	NA	NA	NA
207	6.087	2.088025	0	NA	NA	0	NA	NA	NA	NA	NA
