#Knappertsbusch 2000 core 251/251A Y											
N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
201	29.174	60.171049	14.98	14.98	NA	14.98	linear	1	no	coccolith	Calcidiscus_leptoporus
206	29.966	23.367556	12.63	NA	NA	12.63	NA	NA	NA	NA	NA
207	30.565	38.638656	11.82	NA	NA	11.82	NA	NA	NA	NA	NA
200	35.175	23.222761	11.64	NA	NA	11.64	NA	NA	NA	NA	NA
204	34.647	23.824161	11.14	NA	NA	11.14	NA	NA	NA	NA	NA
203	30.749	37.540129	10.94	NA	NA	10.94	NA	NA	NA	NA	NA
203	34.374	25.2004	10.24	NA	NA	10.24	NA	NA	NA	NA	NA
200	34.475	57.668836	9.79	NA	NA	9.79	NA	NA	NA	NA	NA
205	25.385	27.994681	9.78	NA	NA	9.78	NA	NA	NA	NA	NA
205	28.741	111.070521	9.52	NA	NA	9.52	NA	NA	NA	NA	NA
206	25.175	60.855601	8.91	NA	NA	8.91	NA	NA	NA	NA	NA
204	28.436	42.627841	7.77	NA	NA	7.77	NA	NA	NA	NA	NA
201	30.294	67.5684	7.26	NA	NA	7.26	NA	NA	NA	NA	NA
208	27.524	11.035684	5.71	NA	NA	5.71	NA	NA	NA	NA	NA
202	28.139	20.3401	5.42	NA	NA	5.42	NA	NA	NA	NA	NA
211	23.096	45.495025	4.96	NA	NA	4.96	NA	NA	NA	NA	NA
208	27.582	41.0881	4.17	NA	NA	4.17	NA	NA	NA	NA	NA
205	30.371	75.238276	3.04	NA	NA	3.04	NA	NA	NA	NA	NA
207	25.372	51.609856	2.22	NA	NA	2.22	NA	NA	NA	NA	NA
52	23.096	45.495025	1.91	NA	NA	1.91	NA	NA	NA	NA	NA
172	25.087	61.873956	1.69	NA	NA	1.69	NA	NA	NA	NA	NA
200	26.795	74.684164	1.65	NA	NA	1.65	NA	NA	NA	NA	NA
200	26.725	52.012944	1.61	NA	NA	1.61	NA	NA	NA	NA	NA
161	24.683	30.118144	1.52	NA	NA	1.52	NA	NA	NA	NA	NA
200	26.855	47.155689	1.42	NA	NA	1.42	NA	NA	NA	NA	NA
200	23.435	33.327529	0.89	NA	NA	0.89	NA	NA	NA	NA	NA
200	21.825	10.857025	0.59	NA	NA	0.59	NA	NA	NA	NA	NA
207	20.966	17.514225	0.26	NA	NA	0.26	NA	NA	NA	NA	NA
207	22.053	22.448644	0	NA	NA	0	NA	NA	NA	NA	NA
