#Knappertsbusch 2000 core V16-205 X											
N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
202	5.94	3.111696	1.83	1.83	NA	1.83	linear	1	no	coccolith	Calcidiscus_leptoporus
201	5.787	2.152089	1.66	NA	NA	1.66	NA	NA	NA	NA	NA
200	5.568	1.687401	1.59	NA	NA	1.59	NA	NA	NA	NA	NA
202	5.442	1.098304	0.97	NA	NA	0.97	NA	NA	NA	NA	NA
202	5.137	0.919681	0.61	NA	NA	0.61	NA	NA	NA	NA	NA
32	5.613	0.781456	0.5	NA	NA	0.5	NA	NA	NA	NA	NA
200	5.715	0.898704	0.26	NA	NA	0.26	NA	NA	NA	NA	NA
202	5.827	1	0.23	NA	NA	0.23	NA	NA	NA	NA	NA
202	6.215	1.170724	0.13	NA	NA	0.13	NA	NA	NA	NA	NA
201	6.05	1.194649	0.1	NA	NA	0.1	NA	NA	NA	NA	NA
202	5.957	1.677025	0.03	NA	NA	0.03	NA	NA	NA	NA	NA
170	5.55	1.136356	0	NA	NA	0	NA	NA	NA	NA	NA
