#Knappertsbusch 2000 core V16-205 Y											
N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
202	24.04	70.190884	1.83	1.83	NA	1.83	linear	1	no	coccolith	Calcidiscus_leptoporus
201	23.617	56.175025	1.66	NA	NA	1.66	NA	NA	NA	NA	NA
200	21.53	45.576001	1.59	NA	NA	1.59	NA	NA	NA	NA	NA
202	22	30.769209	0.97	NA	NA	0.97	NA	NA	NA	NA	NA
202	20.614	23.872996	0.61	NA	NA	0.61	NA	NA	NA	NA	NA
32	21.063	23.609881	0.5	NA	NA	0.5	NA	NA	NA	NA	NA
200	22.085	25.725184	0.26	NA	NA	0.26	NA	NA	NA	NA	NA
202	21.574	21.104836	0.23	NA	NA	0.23	NA	NA	NA	NA	NA
202	22.535	23.396569	0.13	NA	NA	0.13	NA	NA	NA	NA	NA
201	22.189	23.270976	0.1	NA	NA	0.1	NA	NA	NA	NA	NA
202	21.99	21.696964	0.03	NA	NA	0.03	NA	NA	NA	NA	NA
170	19.735	13.860729	0	NA	NA	0	NA	NA	NA	NA	NA
