#Kucera and Widmar 2000 size											
N	mm	vv	depth	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
27	24136.19	73559417	280	10.2	0.081456636	0	linear	1	no	foram	Parkiella_angulocamerata.globocamerata
18	23668.33	87093185	269	NA	NA	0.896023	NA	NA	NA	NA	NA
7	22229.86	72548706	263.5	NA	NA	1.344034499	NA	NA	NA	NA	NA
6	24014.33	70356651	251.5	NA	NA	2.321514135	NA	NA	NA	NA	NA
7	21371	28838244	245.98	NA	NA	2.771154768	NA	NA	NA	NA	NA
14	25284.79	45358473	242.98	NA	NA	3.015524677	NA	NA	NA	NA	NA
15	27066.53	88701131	240	NA	NA	3.258265453	NA	NA	NA	NA	NA
24	28726.25	122145938	236.5	NA	NA	3.54336368	NA	NA	NA	NA	NA
14	25415	119664868	231.52	NA	NA	3.949017729	NA	NA	NA	NA	NA
11	26613.273	438910355	231	NA	NA	3.99137518	NA	NA	NA	NA	NA
13	32658.615	398169158	227.49	NA	NA	4.277287973	NA	NA	NA	NA	NA
27	28156.63	153095303	202.5	NA	NA	6.312889315	NA	NA	NA	NA	NA
16	30653.438	191659581	200	NA	NA	6.516530906	NA	NA	NA	NA	NA
9	25140.222	68276524	176	NA	NA	8.471490177	NA	NA	NA	NA	NA
14	33057.214	132766236	173.1	NA	NA	8.707714423	NA	NA	NA	NA	NA
18	29856.111	243548442	162	NA	NA	9.611883086	NA	NA	NA	NA	NA
20	30342.4	238381387	154.78	NA	NA	10.2	NA	NA	NA	NA	NA
