#Kucera and Widmark 2000 globul											
N	mm	vv	depth	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
18	1.010078	0.007103	280	10.2	0.081456636	0	linear	1	no	foram	Parkiella_angulocamerata.globocamerata
11	1.021334	0.013152	269	NA	NA	0.896023	NA	NA	NA	NA	NA
7	1.106553	0.003891	245.98	NA	NA	2.771154768	NA	NA	NA	NA	NA
8	1.097749	0.006657	242.98	NA	NA	3.015524677	NA	NA	NA	NA	NA
11	1.010743	0.010108	240	NA	NA	3.258265453	NA	NA	NA	NA	NA
17	1.052529	0.008794	236.5	NA	NA	3.54336368	NA	NA	NA	NA	NA
7	0.983563	0.01007	231.52	NA	NA	3.949017729	NA	NA	NA	NA	NA
7	1.076079	0.00274	227.49	NA	NA	4.277287973	NA	NA	NA	NA	NA
12	1.059428	0.003633	224.49	NA	NA	4.521657882	NA	NA	NA	NA	NA
19	1.03139	0.00608	202.5	NA	NA	6.312889315	NA	NA	NA	NA	NA
14	1.070526	0.007873	200	NA	NA	6.516530906	NA	NA	NA	NA	NA
6	1.060117	0.006544	176	NA	NA	8.471490177	NA	NA	NA	NA	NA
11	1.206467	0.010639	173.1	NA	NA	8.707714423	NA	NA	NA	NA	NA
13	1.188258	0.016863	162	NA	NA	9.611883086	NA	NA	NA	NA	NA
10	1.249484	0.008112	154.78	NA	NA	10.2	NA	NA	NA	NA	NA
