#Kucera and Widmark 2000 height											
N	mm	vv	depth	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
27	151.29	813.5274	280	10.2	0.081456636	0	linear	1	no	foram	Parkiella_angulocamerata.globocamerata
17	149.1162	1892.962	269	NA	NA	0.896023	NA	NA	NA	NA	NA
6	126.0083	180.7478	263.5	NA	NA	1.344034499	NA	NA	NA	NA	NA
6	147.3383	837.0963	251.5	NA	NA	2.321514135	NA	NA	NA	NA	NA
7	130.0486	340.6872	245.98	NA	NA	2.771154768	NA	NA	NA	NA	NA
14	146.9371	1275.182	242.98	NA	NA	3.015524677	NA	NA	NA	NA	NA
17	165.3858	1808.376	240	NA	NA	3.258265453	NA	NA	NA	NA	NA
26	162.6942	1102.567	236.5	NA	NA	3.54336368	NA	NA	NA	NA	NA
14	153.2975	2430.569	231.52	NA	NA	3.949017729	NA	NA	NA	NA	NA
12	139.6727	1930.751	227.49	NA	NA	3.99137518	NA	NA	NA	NA	NA
13	168.6454	2393.698	224.49	NA	NA	4.277287973	NA	NA	NA	NA	NA
27	155.2637	1967.929	202.5	NA	NA	6.312889315	NA	NA	NA	NA	NA
17	159.8053	1546.523	200	NA	NA	6.516530906	NA	NA	NA	NA	NA
14	142.4207	942.3021	176	NA	NA	8.471490177	NA	NA	NA	NA	NA
14	150.3107	944.6724	173.1	NA	NA	8.707714423	NA	NA	NA	NA	NA
18	141.9233	1312.006	162	NA	NA	9.611883086	NA	NA	NA	NA	NA
21	141.1676	1051.495	154.78	NA	NA	10.2	NA	NA	NA	NA	NA
