#Kucera and Widmark 2000 logsize												
N	mm	vv	depth	depth	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
27	4.361782	0.016892	280	280	10.2	0.081456636	0	area	1	yes	foram	Parkiella_angulocamerata.globocamerata
18	4.341343	0.030837	269	269	NA	NA	0.896023	NA	NA	NA	NA	NA
7	4.32624	0.018307	263.5	263.5	NA	NA	1.344034499	NA	NA	NA	NA	NA
6	4.358028	0.023825	251.5	251.5	NA	NA	2.321514135	NA	NA	NA	NA	NA
7	4.329825	0.012139	245.98	245.98	NA	NA	2.771154768	NA	NA	NA	NA	NA
14	4.389042	0.012701	242.98	242.98	NA	NA	3.015524677	NA	NA	NA	NA	NA
15	4.406935	0.024455	240	240	NA	NA	3.258265453	NA	NA	NA	NA	NA
24	4.202842	0.024902	236.5	236.5	NA	NA	3.54336368	NA	NA	NA	NA	NA
14	4.37041	0.031647	231.52	231.52	NA	NA	3.949017729	NA	NA	NA	NA	NA
11	4.361935	0.043225	231	231	NA	NA	3.99137518	NA	NA	NA	NA	NA
13	4.459368	0.043978	227.49	227.49	NA	NA	4.277287973	NA	NA	NA	NA	NA
27	4.415643	0.02878	202.5	202.5	NA	NA	6.312889315	NA	NA	NA	NA	NA
16	4.448815	0.033597	200	200	NA	NA	6.516530906	NA	NA	NA	NA	NA
9	4.383406	0.015099	176	176	NA	NA	8.471490177	NA	NA	NA	NA	NA
14	4.498034	0.018758	173.1	173.1	NA	NA	8.707714423	NA	NA	NA	NA	NA
18	4.434556	0.032178	162	162	NA	NA	9.611883086	NA	NA	NA	NA	NA
20	4.440305	0.03406	154.78	154.78	NA	NA	10.2	NA	NA	NA	NA	NA
