N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
55	122	400	808	5.12	0.150588235	0	linear	1	no	foram	Cycloclypeus
72	121	441	810	NA	NA	0.301176471	NA	NA	NA	NA	NA
28	128	529	816	NA	NA	1.204705882	NA	NA	NA	NA	NA
58	121	625	818	NA	NA	1.505882353	NA	NA	NA	NA	NA
30	134	400	820	NA	NA	1.807058824	NA	NA	NA	NA	NA
76	130	729	825	NA	NA	2.56	NA	NA	NA	NA	NA
31	128	484	827	NA	NA	2.861176471	NA	NA	NA	NA	NA
74	145	841	831	NA	NA	3.463529412	NA	NA	NA	NA	NA
67	155	729	835	NA	NA	4.065882353	NA	NA	NA	NA	NA
52	153	1444	836	NA	NA	4.216470588	NA	NA	NA	NA	NA
40	152	1369	839	NA	NA	4.668235294	NA	NA	NA	NA	NA
31	164	784	841	NA	NA	4.969411765	NA	NA	NA	NA	NA
89	164	841	842	NA	NA	5.12	NA	NA	NA	NA	NA
