N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
56	174	784	808	5.12	0.150588235	0	linear	1	no	foram	Cycloclypeus
72	179	900	810	NA	NA	0.301176471	NA	NA	NA	NA	NA
28	194	2401	816	NA	NA	1.204705882	NA	NA	NA	NA	NA
58	182	1156	818	NA	NA	1.505882353	NA	NA	NA	NA	NA
30	196	784	820	NA	NA	1.807058824	NA	NA	NA	NA	NA
76	190	1521	825	NA	NA	2.56	NA	NA	NA	NA	NA
31	186	1089	827	NA	NA	2.861176471	NA	NA	NA	NA	NA
73	211	1444	831	NA	NA	3.463529412	NA	NA	NA	NA	NA
67	225	1681	835	NA	NA	4.065882353	NA	NA	NA	NA	NA
52	222	2704	836	NA	NA	4.216470588	NA	NA	NA	NA	NA
40	222	2500	839	NA	NA	4.668235294	NA	NA	NA	NA	NA
32	237	2025	841	NA	NA	4.969411765	NA	NA	NA	NA	NA
89	232	1444	842	NA	NA	5.12	NA	NA	NA	NA	NA
