N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
38	876	4761	808	5.12	0.150588235	0	linear	1	no	foram	Cycloclypeus
53	793	6724	810	NA	NA	0.301176471	NA	NA	NA	NA	NA
23	784	6889	816	NA	NA	1.204705882	NA	NA	NA	NA	NA
47	770	6724	818	NA	NA	1.505882353	NA	NA	NA	NA	NA
28	707	4761	820	NA	NA	1.807058824	NA	NA	NA	NA	NA
60	698	9216	825	NA	NA	2.56	NA	NA	NA	NA	NA
21	730	8649	827	NA	NA	2.861176471	NA	NA	NA	NA	NA
49	664	9216	831	NA	NA	3.463529412	NA	NA	NA	NA	NA
58	627	7225	835	NA	NA	4.065882353	NA	NA	NA	NA	NA
44	668	16900	836	NA	NA	4.216470588	NA	NA	NA	NA	NA
35	644	12544	839	NA	NA	4.668235294	NA	NA	NA	NA	NA
30	582	7744	841	NA	NA	4.969411765	NA	NA	NA	NA	NA
61	582	7921	842	NA	NA	5.12	NA	NA	NA	NA	NA
