N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
33	30.1	16	808	5.12	0.150588235	0	linear	1	no	foram	Cycloclypeus
50	25.9	15.21	810	NA	NA	0.301176471	NA	NA	NA	NA	NA
19	25.8	9	816	NA	NA	1.204705882	NA	NA	NA	NA	NA
40	24.2	10.24	818	NA	NA	1.505882353	NA	NA	NA	NA	NA
28	20.9	6.76	820	NA	NA	1.807058824	NA	NA	NA	NA	NA
58	20.9	10.24	825	NA	NA	2.56	NA	NA	NA	NA	NA
21	22	14.44	827	NA	NA	2.861176471	NA	NA	NA	NA	NA
43	20.1	13.69	831	NA	NA	3.463529412	NA	NA	NA	NA	NA
51	18.3	9.61	835	NA	NA	4.065882353	NA	NA	NA	NA	NA
38	19.5	22.09	836	NA	NA	4.216470588	NA	NA	NA	NA	NA
32	19	21.16	839	NA	NA	4.668235294	NA	NA	NA	NA	NA
30	17.1	12.25	841	NA	NA	4.969411765	NA	NA	NA	NA	NA
58	16.5	9.61	842	NA	NA	5.12	NA	NA	NA	NA	NA
