#Lazarus et al 1995 G. crassiformis box angle ratio											
N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
41	0.69599	0.001290215	2.8	2.8	NA	2.8	linear	1	no	radiolaria	G_crassiformis
113	0.73256	0.001529103	2.7	NA	NA	2.7	NA	NA	NA	NA	NA
98	0.71945	0.00149097	2.5	NA	NA	2.5	NA	NA	NA	NA	NA
36	0.74013	0.000547703	2.3	NA	NA	2.3	NA	NA	NA	NA	NA
29	0.72061	0.00103868	2.2	NA	NA	2.2	NA	NA	NA	NA	NA
42	0.71682	0.002249771	2	NA	NA	2	NA	NA	NA	NA	NA
19	0.72309	0.000521654	1.95	NA	NA	1.95	NA	NA	NA	NA	NA
18	0.73372	0.000522502	1.9	NA	NA	1.9	NA	NA	NA	NA	NA
29	0.73649	0.003184834	1.8	NA	NA	1.8	NA	NA	NA	NA	NA
21	0.76315	0.00063525	1	NA	NA	1	NA	NA	NA	NA	NA
33	0.71595	0.000678136	0.7	NA	NA	0.7	NA	NA	NA	NA	NA
23	0.73358	0.000370822	0	NA	NA	0	NA	NA	NA	NA	NA
