N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
14	2.99	0.0225	3.295	0.164	0.555932203	0	linear	1	no	mammal	Cosomys_primus
11	3.1	0.0169	3.28	NA	NA	0.008338983	NA	NA	NA	NA	NA
5	3.09	0.0196	3.25	NA	NA	0.025016949	NA	NA	NA	NA	NA
14	3.14	0.0196	3.225	NA	NA	0.038915254	NA	NA	NA	NA	NA
5	2.89	0.0144	3.175	NA	NA	0.066711864	NA	NA	NA	NA	NA
18	3.09	0.0225	3.115	NA	NA	0.100067797	NA	NA	NA	NA	NA
11	3	0.0225	3.07	NA	NA	0.125084746	NA	NA	NA	NA	NA
24	2.99	0.0256	3.037	NA	NA	0.143430508	NA	NA	NA	NA	NA
16	3.02	0.0256	3.03	NA	NA	0.147322034	NA	NA	NA	NA	NA
28	2.97	0.0484	3	NA	NA	0.164	NA	NA	NA	NA	NA
