N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
14	1.32	0.01	3.295	0.164	0.555932203	0	linear	1	no	mammal	Cosomys_primus
10	1.38	0.0049	3.28	NA	NA	0.008338983	NA	NA	NA	NA	NA
5	1.36	0.0144	3.25	NA	NA	0.025016949	NA	NA	NA	NA	NA
14	1.43	0.01	3.225	NA	NA	0.038915254	NA	NA	NA	NA	NA
5	1.3	0.0121	3.175	NA	NA	0.066711864	NA	NA	NA	NA	NA
18	1.32	0.0169	3.115	NA	NA	0.100067797	NA	NA	NA	NA	NA
11	1.33	0.0169	3.07	NA	NA	0.125084746	NA	NA	NA	NA	NA
24	1.35	0.0144	3.037	NA	NA	0.143430508	NA	NA	NA	NA	NA
16	1.37	0.0081	3.03	NA	NA	0.147322034	NA	NA	NA	NA	NA
28	1.33	0.0121	3	NA	NA	0.164	NA	NA	NA	NA	NA
