N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
14	1.41	0.0121	3.295	0.164	0.555932203	0	linear	1	no	mammal	Cosomys_primus
11	1.47	0.0049	3.28	NA	NA	0.008338983	NA	NA	NA	NA	NA
5	1.48	0.0121	3.25	NA	NA	0.025016949	NA	NA	NA	NA	NA
14	1.52	0.01	3.225	NA	NA	0.038915254	NA	NA	NA	NA	NA
5	1.41	0.0121	3.175	NA	NA	0.066711864	NA	NA	NA	NA	NA
18	1.49	0.0169	3.115	NA	NA	0.100067797	NA	NA	NA	NA	NA
11	1.42	0.0169	3.07	NA	NA	0.125084746	NA	NA	NA	NA	NA
24	1.44	0.0121	3.037	NA	NA	0.143430508	NA	NA	NA	NA	NA
16	1.46	0.01	3.03	NA	NA	0.147322034	NA	NA	NA	NA	NA
28	1.42	0.01	3	NA	NA	0.164	NA	NA	NA	NA	NA
