#Lister 1993 Mammuthus lamellar frequency											
N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
7	4.6956	0.100628644	2.196	2.178659	NA	2.196	linear	1	no	mammal	Mammuthus_meridionalis.trogontherii.primigenius
19	5.1219	0.101137807	1.5992	NA	NA	1.5992	NA	NA	NA	NA	NA
12	5.8756	0.237606122	1.1038	NA	NA	1.1038	NA	NA	NA	NA	NA
18	7.0277	0.125255232	0.60324	NA	NA	0.60324	NA	NA	NA	NA	NA
3	8.9984	0.51508821	0.40657	NA	NA	0.40657	NA	NA	NA	NA	NA
8	8.9772	0.297472308	0.23529	NA	NA	0.23529	NA	NA	NA	NA	NA
11	8.7013	0.144637179	0.20407	NA	NA	0.20407	NA	NA	NA	NA	NA
23	9.8043	0.316579305	0.14729	NA	NA	0.14729	NA	NA	NA	NA	NA
42	9.5382	0.292083482	0.040813	NA	NA	0.040813	NA	NA	NA	NA	NA
6	9.1397	0.132395339	0.017341	NA	NA	0.017341	NA	NA	NA	NA	NA
