#Motoyama 1997 ABL											
N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
17	34.5	123.21	0.1	6.3	NA	0.1	linear	1	no	radiolaria	Cycladophora_sakaii.davisiana
16	35	106.09	1.3	NA	NA	1.3	NA	NA	NA	NA	NA
7	27.6	19.36	1.6	NA	NA	1.6	NA	NA	NA	NA	NA
13	32.2	134.56	2	NA	NA	2	NA	NA	NA	NA	NA
7	30.7	22.09	2.34	NA	NA	2.34	NA	NA	NA	NA	NA
7	32.9	29.16	2.39	NA	NA	2.39	NA	NA	NA	NA	NA
7	38	320.41	2.43	NA	NA	2.43	NA	NA	NA	NA	NA
20	31	182.25	2.65	NA	NA	2.65	NA	NA	NA	NA	NA
13	39.1	275.56	2.67	NA	NA	2.67	NA	NA	NA	NA	NA
6	21.5	12.25	2.68	NA	NA	2.68	NA	NA	NA	NA	NA
13	33.4	179.56	2.8	NA	NA	2.8	NA	NA	NA	NA	NA
6	28.1	148.84	3	NA	NA	3	NA	NA	NA	NA	NA
12	27.6	29.16	3.2	NA	NA	3.2	NA	NA	NA	NA	NA
12	29.6	102.01	3.3	NA	NA	3.3	NA	NA	NA	NA	NA
11	28.2	102.01	3.5	NA	NA	3.5	NA	NA	NA	NA	NA
13	28.1	32.49	3.6	NA	NA	3.6	NA	NA	NA	NA	NA
10	21.1	42.25	3.9	NA	NA	3.9	NA	NA	NA	NA	NA
11	26.1	108.16	4.2	NA	NA	4.2	NA	NA	NA	NA	NA
4	25.7	68.89	4.6	NA	NA	4.6	NA	NA	NA	NA	NA
8	24.1	42.25	5.1	NA	NA	5.1	NA	NA	NA	NA	NA
14	21.4	59.29	5.5	NA	NA	5.5	NA	NA	NA	NA	NA
16	20.5	29.16	6.4	NA	NA	6.4	NA	NA	NA	NA	NA
