#Motoyama 1997 ABW											
N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
25	95.7	114.49	0.1	6.3	NA	0.1	linear	1	no	radiolaria	Cycladophora_sakaii.davisiana
19	93.5	82.81	1.3	NA	NA	1.3	NA	NA	NA	NA	NA
16	104	108.16	1.6	NA	NA	1.6	NA	NA	NA	NA	NA
18	100.6	158.76	2	NA	NA	2	NA	NA	NA	NA	NA
7	113.1	146.41	2.34	NA	NA	2.34	NA	NA	NA	NA	NA
13	116.3	249.64	2.39	NA	NA	2.39	NA	NA	NA	NA	NA
8	120	432.64	2.43	NA	NA	2.43	NA	NA	NA	NA	NA
25	121.1	225	2.65	NA	NA	2.65	NA	NA	NA	NA	NA
17	130.2	334.89	2.67	NA	NA	2.67	NA	NA	NA	NA	NA
10	105	161.29	2.68	NA	NA	2.68	NA	NA	NA	NA	NA
19	130.8	156.25	2.8	NA	NA	2.8	NA	NA	NA	NA	NA
12	131.4	190.44	3	NA	NA	3	NA	NA	NA	NA	NA
22	128.7	196	3.2	NA	NA	3.2	NA	NA	NA	NA	NA
12	135.7	210.25	3.3	NA	NA	3.3	NA	NA	NA	NA	NA
20	129.4	265.69	3.5	NA	NA	3.5	NA	NA	NA	NA	NA
15	130.8	259.21	3.6	NA	NA	3.6	NA	NA	NA	NA	NA
18	117.8	219.04	3.9	NA	NA	3.9	NA	NA	NA	NA	NA
12	112.5	408.04	4.2	NA	NA	4.2	NA	NA	NA	NA	NA
8	103.3	108.16	4.6	NA	NA	4.6	NA	NA	NA	NA	NA
11	109.3	112.36	5.1	NA	NA	5.1	NA	NA	NA	NA	NA
17	110.7	86.49	5.5	NA	NA	5.5	NA	NA	NA	NA	NA
16	114.6	86.49	6.4	NA	NA	6.4	NA	NA	NA	NA	NA
