#Motoyama 1997 AHL											
N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
10	9	13.69	0.1	6.3	NA	0.1	linear	1	no	radiolaria	Cycladophora_sakaii.davisiana
10	9.4	7.84	1.3	NA	NA	1.3	NA	NA	NA	NA	NA
6	11.4	16.81	1.6	NA	NA	1.6	NA	NA	NA	NA	NA
12	9.7	13.69	2	NA	NA	2	NA	NA	NA	NA	NA
4	7.7	29.16	2.34	NA	NA	2.34	NA	NA	NA	NA	NA
10	11.9	9.61	2.39	NA	NA	2.39	NA	NA	NA	NA	NA
8	9.1	33.64	2.43	NA	NA	2.43	NA	NA	NA	NA	NA
13	11.2	20.25	2.65	NA	NA	2.65	NA	NA	NA	NA	NA
11	13.1	51.84	2.67	NA	NA	2.67	NA	NA	NA	NA	NA
6	8.7	8.41	2.68	NA	NA	2.68	NA	NA	NA	NA	NA
6	8.8	14.44	2.8	NA	NA	2.8	NA	NA	NA	NA	NA
4	6.6	43.56	3	NA	NA	3	NA	NA	NA	NA	NA
8	6.4	10.89	3.2	NA	NA	3.2	NA	NA	NA	NA	NA
4	5.8	22.09	3.3	NA	NA	3.3	NA	NA	NA	NA	NA
5	14.2	38.44	3.5	NA	NA	3.5	NA	NA	NA	NA	NA
3	9.4	34.81	3.6	NA	NA	3.6	NA	NA	NA	NA	NA
11	15.7	25	3.9	NA	NA	3.9	NA	NA	NA	NA	NA
8	15.3	17.64	4.2	NA	NA	4.2	NA	NA	NA	NA	NA
3	10.2	46.24	4.6	NA	NA	4.6	NA	NA	NA	NA	NA
4	18.5	2.89	5.1	NA	NA	5.1	NA	NA	NA	NA	NA
5	19.8	42.25	5.5	NA	NA	5.5	NA	NA	NA	NA	NA
4	15	108.16	6.4	NA	NA	6.4	NA	NA	NA	NA	NA
