#Motoyama 1997 BW											
N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
29	3.9	1.21	0.1	6.3	NA	0.1	linear	1	no	radiolaria	Cycladophora_sakaii.davisiana
25	4.4	1	1.3	NA	NA	1.3	NA	NA	NA	NA	NA
27	3.8	1.69	1.6	NA	NA	1.6	NA	NA	NA	NA	NA
29	4.1	1.44	2	NA	NA	2	NA	NA	NA	NA	NA
13	3.4	0.81	2.34	NA	NA	2.34	NA	NA	NA	NA	NA
24	3.3	1.44	2.39	NA	NA	2.39	NA	NA	NA	NA	NA
20	3.1	1.69	2.43	NA	NA	2.43	NA	NA	NA	NA	NA
27	4.4	1	2.65	NA	NA	2.65	NA	NA	NA	NA	NA
27	3.3	0.81	2.67	NA	NA	2.67	NA	NA	NA	NA	NA
24	3.8	1.96	2.68	NA	NA	2.68	NA	NA	NA	NA	NA
24	3.2	0.49	2.8	NA	NA	2.8	NA	NA	NA	NA	NA
25	4	1.44	3	NA	NA	3	NA	NA	NA	NA	NA
27	4	0.81	3.2	NA	NA	3.2	NA	NA	NA	NA	NA
24	3.8	0.81	3.3	NA	NA	3.3	NA	NA	NA	NA	NA
26	3.8	1.21	3.5	NA	NA	3.5	NA	NA	NA	NA	NA
29	3.7	0.81	3.6	NA	NA	3.6	NA	NA	NA	NA	NA
24	3.4	0.64	3.9	NA	NA	3.9	NA	NA	NA	NA	NA
23	3.7	1	4.2	NA	NA	4.2	NA	NA	NA	NA	NA
20	3.9	0.64	4.6	NA	NA	4.6	NA	NA	NA	NA	NA
22	4.3	1.69	5.1	NA	NA	5.1	NA	NA	NA	NA	NA
19	4	0.64	5.5	NA	NA	5.5	NA	NA	NA	NA	NA
23	4.3	1.44	6.4	NA	NA	6.4	NA	NA	NA	NA	NA
