#Motoyama 1997 CPW											
N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
26	22.2	3.24	0.1	6.3	NA	0.1	linear	1	no	radiolaria	Cycladophora_sakaii.davisiana
25	23	7.29	1.3	NA	NA	1.3	NA	NA	NA	NA	NA
28	23.9	3.61	1.6	NA	NA	1.6	NA	NA	NA	NA	NA
28	24.3	3.24	2	NA	NA	2	NA	NA	NA	NA	NA
13	23.1	4	2.34	NA	NA	2.34	NA	NA	NA	NA	NA
21	23.8	4	2.39	NA	NA	2.39	NA	NA	NA	NA	NA
20	24.6	5.76	2.43	NA	NA	2.43	NA	NA	NA	NA	NA
25	25.9	3.24	2.65	NA	NA	2.65	NA	NA	NA	NA	NA
29	25.5	2.89	2.67	NA	NA	2.67	NA	NA	NA	NA	NA
24	24.6	3.24	2.68	NA	NA	2.68	NA	NA	NA	NA	NA
22	25.8	6.76	2.8	NA	NA	2.8	NA	NA	NA	NA	NA
23	25.5	3.24	3	NA	NA	3	NA	NA	NA	NA	NA
18	26.2	2.56	3.2	NA	NA	3.2	NA	NA	NA	NA	NA
22	25.8	4.84	3.3	NA	NA	3.3	NA	NA	NA	NA	NA
16	26.8	4.84	3.5	NA	NA	3.5	NA	NA	NA	NA	NA
19	26.9	7.29	3.6	NA	NA	3.6	NA	NA	NA	NA	NA
22	26.4	6.25	3.9	NA	NA	3.9	NA	NA	NA	NA	NA
20	25	1.96	4.2	NA	NA	4.2	NA	NA	NA	NA	NA
20	26.6	5.76	4.6	NA	NA	4.6	NA	NA	NA	NA	NA
17	26.5	4.84	5.1	NA	NA	5.1	NA	NA	NA	NA	NA
19	25.6	3.61	5.5	NA	NA	5.5	NA	NA	NA	NA	NA
20	26.6	4	6.4	NA	NA	6.4	NA	NA	NA	NA	NA
