#Motoyama 1997 PD											
N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
29	14.3	7.84	0.1	6.3	NA	0.1	linear	1	no	radiolaria	Cycladophora_sakaii.davisiana
25	14.8	10.24	1.3	NA	NA	1.3	NA	NA	NA	NA	NA
27	16.2	4.84	1.6	NA	NA	1.6	NA	NA	NA	NA	NA
29	15.9	7.84	2	NA	NA	2	NA	NA	NA	NA	NA
13	15.6	11.56	2.34	NA	NA	2.34	NA	NA	NA	NA	NA
24	17.4	7.29	2.39	NA	NA	2.39	NA	NA	NA	NA	NA
20	17.9	10.89	2.43	NA	NA	2.43	NA	NA	NA	NA	NA
30	15.9	6.25	2.65	NA	NA	2.65	NA	NA	NA	NA	NA
26	15.4	3.61	2.67	NA	NA	2.67	NA	NA	NA	NA	NA
24	15.5	6.76	2.68	NA	NA	2.68	NA	NA	NA	NA	NA
24	15.2	3.61	2.8	NA	NA	2.8	NA	NA	NA	NA	NA
25	16.7	6.25	3	NA	NA	3	NA	NA	NA	NA	NA
27	15.1	4.84	3.2	NA	NA	3.2	NA	NA	NA	NA	NA
24	17.2	5.76	3.3	NA	NA	3.3	NA	NA	NA	NA	NA
26	16.4	9	3.5	NA	NA	3.5	NA	NA	NA	NA	NA
29	15.5	3.24	3.6	NA	NA	3.6	NA	NA	NA	NA	NA
24	16.1	9.61	3.9	NA	NA	3.9	NA	NA	NA	NA	NA
23	14.3	9.61	4.2	NA	NA	4.2	NA	NA	NA	NA	NA
20	13.4	4	4.6	NA	NA	4.6	NA	NA	NA	NA	NA
22	15.5	4.41	5.1	NA	NA	5.1	NA	NA	NA	NA	NA
19	16.3	5.76	5.5	NA	NA	5.5	NA	NA	NA	NA	NA
23	16	4.84	6.4	NA	NA	6.4	NA	NA	NA	NA	NA
