#Motoyama 1997 PN											
N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
30	11.8	2.89	0.1	6.3	NA	0.1	linear	1	no	radiolaria	Cycladophora_sakaii.davisiana
25	12	1.96	1.3	NA	NA	1.3	NA	NA	NA	NA	NA
30	12.4	1.96	1.6	NA	NA	1.6	NA	NA	NA	NA	NA
30	12.4	4.41	2	NA	NA	2	NA	NA	NA	NA	NA
27	13.8	4	2.34	NA	NA	2.34	NA	NA	NA	NA	NA
24	12.9	3.24	2.39	NA	NA	2.39	NA	NA	NA	NA	NA
20	13.4	4.84	2.43	NA	NA	2.43	NA	NA	NA	NA	NA
30	14.6	2.89	2.65	NA	NA	2.65	NA	NA	NA	NA	NA
26	16.2	4	2.67	NA	NA	2.67	NA	NA	NA	NA	NA
24	15	5.29	2.68	NA	NA	2.68	NA	NA	NA	NA	NA
24	17.7	3.61	2.8	NA	NA	2.8	NA	NA	NA	NA	NA
25	15.9	3.24	3	NA	NA	3	NA	NA	NA	NA	NA
27	17.2	3.24	3.2	NA	NA	3.2	NA	NA	NA	NA	NA
24	16.7	4	3.3	NA	NA	3.3	NA	NA	NA	NA	NA
26	16.9	5.76	3.5	NA	NA	3.5	NA	NA	NA	NA	NA
29	17.2	2.89	3.6	NA	NA	3.6	NA	NA	NA	NA	NA
24	16.6	8.41	3.9	NA	NA	3.9	NA	NA	NA	NA	NA
24	16.6	5.29	4.2	NA	NA	4.2	NA	NA	NA	NA	NA
20	15.8	3.61	4.6	NA	NA	4.6	NA	NA	NA	NA	NA
22	15.7	4.41	5.1	NA	NA	5.1	NA	NA	NA	NA	NA
21	15	4	5.5	NA	NA	5.5	NA	NA	NA	NA	NA
24	15.8	3.61	6.4	NA	NA	6.4	NA	NA	NA	NA	NA
