#Motoyama 1997 TXL											
N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
17	50.1	37.21	0.1	6.3	NA	0.1	linear	1	no	radiolaria	Cycladophora_sakaii.davisiana
16	54.5	96.04	1.3	NA	NA	1.3	NA	NA	NA	NA	NA
11	62.9	64	1.6	NA	NA	1.6	NA	NA	NA	NA	NA
19	65.6	129.96	2	NA	NA	2	NA	NA	NA	NA	NA
12	71.4	106.09	2.34	NA	NA	2.34	NA	NA	NA	NA	NA
15	67.6	92.16	2.39	NA	NA	2.39	NA	NA	NA	NA	NA
11	72.7	81	2.43	NA	NA	2.43	NA	NA	NA	NA	NA
20	83	144	2.65	NA	NA	2.65	NA	NA	NA	NA	NA
16	84.3	98.01	2.67	NA	NA	2.67	NA	NA	NA	NA	NA
12	79.5	94.09	2.68	NA	NA	2.68	NA	NA	NA	NA	NA
16	89.1	64	2.8	NA	NA	2.8	NA	NA	NA	NA	NA
13	96.6	153.76	3	NA	NA	3	NA	NA	NA	NA	NA
13	94.6	204.49	3.2	NA	NA	3.2	NA	NA	NA	NA	NA
19	98.4	64	3.3	NA	NA	3.3	NA	NA	NA	NA	NA
13	101.4	182.25	3.5	NA	NA	3.5	NA	NA	NA	NA	NA
15	96.9	144	3.6	NA	NA	3.6	NA	NA	NA	NA	NA
12	97.3	75.69	3.9	NA	NA	3.9	NA	NA	NA	NA	NA
16	82	70.56	4.2	NA	NA	4.2	NA	NA	NA	NA	NA
11	77.5	141.61	4.6	NA	NA	4.6	NA	NA	NA	NA	NA
11	81	102.01	5.1	NA	NA	5.1	NA	NA	NA	NA	NA
15	84.6	30.25	5.5	NA	NA	5.5	NA	NA	NA	NA	NA
16	88.2	100	6.4	NA	NA	6.4	NA	NA	NA	NA	NA
