#Motoyama 1997 TXW											
N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
30	66.5	18.49	0.1	6.3	NA	0.1	linear	1	no	radiolaria	Cycladophora_sakaii.davisiana
26	72.5	34.81	1.3	NA	NA	1.3	NA	NA	NA	NA	NA
30	79.1	56.25	1.6	NA	NA	1.6	NA	NA	NA	NA	NA
30	77.9	54.76	2	NA	NA	2	NA	NA	NA	NA	NA
31	81.4	46.24	2.34	NA	NA	2.34	NA	NA	NA	NA	NA
30	83	59.29	2.39	NA	NA	2.39	NA	NA	NA	NA	NA
25	87.8	77.44	2.43	NA	NA	2.43	NA	NA	NA	NA	NA
30	93.2	57.76	2.65	NA	NA	2.65	NA	NA	NA	NA	NA
30	96.7	90.25	2.67	NA	NA	2.67	NA	NA	NA	NA	NA
30	90.4	73.96	2.68	NA	NA	2.68	NA	NA	NA	NA	NA
30	102	30.25	2.8	NA	NA	2.8	NA	NA	NA	NA	NA
30	102.3	82.81	3	NA	NA	3	NA	NA	NA	NA	NA
31	103.5	86.49	3.2	NA	NA	3.2	NA	NA	NA	NA	NA
30	110	59.29	3.3	NA	NA	3.3	NA	NA	NA	NA	NA
30	106.2	68.89	3.5	NA	NA	3.5	NA	NA	NA	NA	NA
30	103.7	47.61	3.6	NA	NA	3.6	NA	NA	NA	NA	NA
25	100.3	73.96	3.9	NA	NA	3.9	NA	NA	NA	NA	NA
25	92.1	90.25	4.2	NA	NA	4.2	NA	NA	NA	NA	NA
25	87	28.09	4.6	NA	NA	4.6	NA	NA	NA	NA	NA
25	97.4	33.64	5.1	NA	NA	5.1	NA	NA	NA	NA	NA
25	97.6	34.81	5.5	NA	NA	5.5	NA	NA	NA	NA	NA
25	101.2	67.24	6.4	NA	NA	6.4	NA	NA	NA	NA	NA
