N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
200	0.506065856	0.023660333	45.14	8.79	NA	45.14	linear	1	no	foram	Turborotalia
200	0.460514479	0.019960012	44.83	NA	NA	44.83	NA	NA	NA	NA	NA
200	0.436876736	0.018331923	44.75	NA	NA	44.75	NA	NA	NA	NA	NA
200	0.411634083	0.013867233	44.6	NA	NA	44.6	NA	NA	NA	NA	NA
200	0.459239623	0.017308217	44.53	NA	NA	44.53	NA	NA	NA	NA	NA
200	0.420546257	0.019712166	44.37	NA	NA	44.37	NA	NA	NA	NA	NA
200	0.444971589	0.017294999	44.21	NA	NA	44.21	NA	NA	NA	NA	NA
200	0.514042467	0.025852915	44.14	NA	NA	44.14	NA	NA	NA	NA	NA
200	0.497113623	0.018472604	43.93	NA	NA	43.93	NA	NA	NA	NA	NA
200	0.532877539	0.015260314	43.75	NA	NA	43.75	NA	NA	NA	NA	NA
200	0.47079985	0.009947628	43.72	NA	NA	43.72	NA	NA	NA	NA	NA
200	0.471091686	0.013298993	43.68	NA	NA	43.68	NA	NA	NA	NA	NA
200	0.471251676	0.012775482	43.56	NA	NA	43.56	NA	NA	NA	NA	NA
200	0.472014659	0.014161994	43.45	NA	NA	43.45	NA	NA	NA	NA	NA
200	0.495759496	0.016878318	43.39	NA	NA	43.39	NA	NA	NA	NA	NA
200	0.435855214	0.012617834	43.23	NA	NA	43.23	NA	NA	NA	NA	NA
200	0.430939543	0.01390401	43.05	NA	NA	43.05	NA	NA	NA	NA	NA
200	0.458779197	0.013497215	42.69	NA	NA	42.69	NA	NA	NA	NA	NA
200	0.459290454	0.01712079	42.57	NA	NA	42.57	NA	NA	NA	NA	NA
200	0.498685074	0.011866743	42.43	NA	NA	42.43	NA	NA	NA	NA	NA
200	0.452605298	0.011306243	42.38	NA	NA	42.38	NA	NA	NA	NA	NA
200	0.443990434	0.013976284	42.2	NA	NA	42.2	NA	NA	NA	NA	NA
200	0.480988036	0.013557992	42.12	NA	NA	42.12	NA	NA	NA	NA	NA
200	0.470982115	0.017726832	41.95	NA	NA	41.95	NA	NA	NA	NA	NA
200	0.456817595	0.012605441	41.88	NA	NA	41.88	NA	NA	NA	NA	NA
200	0.458785709	0.011759456	41.61	NA	NA	41.61	NA	NA	NA	NA	NA
200	0.444651778	0.011740898	41.6	NA	NA	41.6	NA	NA	NA	NA	NA
200	0.417813421	0.014308905	40.92	NA	NA	40.92	NA	NA	NA	NA	NA
200	0.400736488	0.010044677	40.81	NA	NA	40.81	NA	NA	NA	NA	NA
200	0.394604348	0.013047129	40.55	NA	NA	40.55	NA	NA	NA	NA	NA
200	0.370978318	0.009546078	40.41	NA	NA	40.41	NA	NA	NA	NA	NA
200	0.387514505	0.010864306	40.13	NA	NA	40.13	NA	NA	NA	NA	NA
200	0.378918728	0.011180455	40	NA	NA	40	NA	NA	NA	NA	NA
200	0.365423531	0.012336834	39.54	NA	NA	39.54	NA	NA	NA	NA	NA
200	0.374871508	0.011539155	39.21	NA	NA	39.21	NA	NA	NA	NA	NA
200	0.368971627	0.009976163	39.04	NA	NA	39.04	NA	NA	NA	NA	NA
200	0.380114254	0.011144733	38.5	NA	NA	38.5	NA	NA	NA	NA	NA
200	0.426365925	0.011181817	37.9	NA	NA	37.9	NA	NA	NA	NA	NA
200	0.351381176	0.011679384	37.72	NA	NA	37.72	NA	NA	NA	NA	NA
200	0.428356136	0.009836358	37.26	NA	NA	37.26	NA	NA	NA	NA	NA
200	0.467900674	0.012508931	37.06	NA	NA	37.06	NA	NA	NA	NA	NA
200	0.494478979	0.012371548	36.57	NA	NA	36.57	NA	NA	NA	NA	NA
200	0.460595478	0.016476123	36.35	NA	NA	36.35	NA	NA	NA	NA	NA
