N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
200	0.093142471	0.000429588	45.14	8.79	NA	45.14	area	1	no	foram	Turborotalia
200	0.104281731	0.000683847	44.83	NA	NA	44.83	NA	NA	NA	NA	NA
200	0.103454525	0.000553935	44.75	NA	NA	44.75	NA	NA	NA	NA	NA
200	0.100416099	0.000382966	44.6	NA	NA	44.6	NA	NA	NA	NA	NA
200	0.083821503	0.000387732	44.53	NA	NA	44.53	NA	NA	NA	NA	NA
200	0.104419846	0.000767314	44.37	NA	NA	44.37	NA	NA	NA	NA	NA
200	0.090925332	0.000495329	44.21	NA	NA	44.21	NA	NA	NA	NA	NA
200	0.097290318	0.000828901	44.14	NA	NA	44.14	NA	NA	NA	NA	NA
200	0.107557207	0.000826456	43.93	NA	NA	43.93	NA	NA	NA	NA	NA
200	0.106964519	0.000609083	43.75	NA	NA	43.75	NA	NA	NA	NA	NA
200	0.11136206	0.000542328	43.72	NA	NA	43.72	NA	NA	NA	NA	NA
200	0.103676061	0.000468343	43.68	NA	NA	43.68	NA	NA	NA	NA	NA
200	0.108594929	0.000614563	43.56	NA	NA	43.56	NA	NA	NA	NA	NA
200	0.113465442	0.000560228	43.45	NA	NA	43.45	NA	NA	NA	NA	NA
200	0.118081194	0.000527866	43.39	NA	NA	43.39	NA	NA	NA	NA	NA
200	0.115712637	0.000619869	43.23	NA	NA	43.23	NA	NA	NA	NA	NA
200	0.141612874	0.001156937	43.05	NA	NA	43.05	NA	NA	NA	NA	NA
200	0.115869616	0.000542348	42.69	NA	NA	42.69	NA	NA	NA	NA	NA
200	0.114187194	0.001300671	42.57	NA	NA	42.57	NA	NA	NA	NA	NA
200	0.117017605	0.00084208	42.43	NA	NA	42.43	NA	NA	NA	NA	NA
200	0.128474067	0.001472059	42.38	NA	NA	42.38	NA	NA	NA	NA	NA
200	0.126909328	0.001040926	42.2	NA	NA	42.2	NA	NA	NA	NA	NA
200	0.111711636	0.001009144	42.12	NA	NA	42.12	NA	NA	NA	NA	NA
200	0.116252005	0.001286309	41.95	NA	NA	41.95	NA	NA	NA	NA	NA
200	0.119429102	0.001400542	41.88	NA	NA	41.88	NA	NA	NA	NA	NA
200	0.134801736	0.001916812	41.61	NA	NA	41.61	NA	NA	NA	NA	NA
200	0.130653751	0.001544735	41.6	NA	NA	41.6	NA	NA	NA	NA	NA
200	0.173920824	0.002652468	40.92	NA	NA	40.92	NA	NA	NA	NA	NA
200	0.170592227	0.002065984	40.81	NA	NA	40.81	NA	NA	NA	NA	NA
200	0.166829441	0.002931319	40.55	NA	NA	40.55	NA	NA	NA	NA	NA
200	0.159537087	0.001658654	40.41	NA	NA	40.41	NA	NA	NA	NA	NA
200	0.147178807	0.002213688	40.13	NA	NA	40.13	NA	NA	NA	NA	NA
200	0.162814277	0.002547087	40	NA	NA	40	NA	NA	NA	NA	NA
200	0.144329742	0.002789551	39.54	NA	NA	39.54	NA	NA	NA	NA	NA
200	0.136476831	0.001473257	39.21	NA	NA	39.21	NA	NA	NA	NA	NA
200	0.153868729	0.00178053	39.04	NA	NA	39.04	NA	NA	NA	NA	NA
200	0.145421838	0.001428078	38.5	NA	NA	38.5	NA	NA	NA	NA	NA
200	0.146284657	0.001342771	37.9	NA	NA	37.9	NA	NA	NA	NA	NA
200	0.154192548	0.001296013	37.72	NA	NA	37.72	NA	NA	NA	NA	NA
200	0.15487881	0.000779622	37.26	NA	NA	37.26	NA	NA	NA	NA	NA
200	0.142639715	0.001038343	37.06	NA	NA	37.06	NA	NA	NA	NA	NA
200	0.126686611	0.000770789	36.57	NA	NA	36.57	NA	NA	NA	NA	NA
200	0.139192088	0.001235686	36.35	NA	NA	36.35	NA	NA	NA	NA	NA
