N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
200	1.40327676	0.013766281	45.14	8.79	NA	45.14	linear	1	no	foram	Turborotalia
200	1.403433321	0.021966878	44.83	NA	NA	44.83	NA	NA	NA	NA	NA
200	1.429578187	0.023488418	44.75	NA	NA	44.75	NA	NA	NA	NA	NA
200	1.460103655	0.017579668	44.6	NA	NA	44.6	NA	NA	NA	NA	NA
200	1.468694327	0.031686647	44.53	NA	NA	44.53	NA	NA	NA	NA	NA
200	1.539707149	0.037635746	44.37	NA	NA	44.37	NA	NA	NA	NA	NA
200	1.520401027	0.040488458	44.21	NA	NA	44.21	NA	NA	NA	NA	NA
200	1.600271769	0.058960272	44.14	NA	NA	44.14	NA	NA	NA	NA	NA
200	1.610656163	0.055288346	43.93	NA	NA	43.93	NA	NA	NA	NA	NA
200	1.588717724	0.053681843	43.75	NA	NA	43.75	NA	NA	NA	NA	NA
200	1.629830132	0.056277857	43.72	NA	NA	43.72	NA	NA	NA	NA	NA
200	1.650315406	0.050939733	43.68	NA	NA	43.68	NA	NA	NA	NA	NA
200	1.618012299	0.036995666	43.56	NA	NA	43.56	NA	NA	NA	NA	NA
200	1.641359455	0.071706678	43.45	NA	NA	43.45	NA	NA	NA	NA	NA
200	1.660158323	0.050250215	43.39	NA	NA	43.39	NA	NA	NA	NA	NA
200	1.688766953	0.075451726	43.23	NA	NA	43.23	NA	NA	NA	NA	NA
200	1.713857124	0.087097555	43.05	NA	NA	43.05	NA	NA	NA	NA	NA
200	1.697856102	0.062996816	42.69	NA	NA	42.69	NA	NA	NA	NA	NA
200	1.621369316	0.088821752	42.57	NA	NA	42.57	NA	NA	NA	NA	NA
200	1.652439815	0.043458865	42.43	NA	NA	42.43	NA	NA	NA	NA	NA
200	1.68940117	0.058937408	42.38	NA	NA	42.38	NA	NA	NA	NA	NA
200	1.684021072	0.077552358	42.2	NA	NA	42.2	NA	NA	NA	NA	NA
200	1.588548946	0.056622237	42.12	NA	NA	42.12	NA	NA	NA	NA	NA
200	1.693086531	0.09231086	41.95	NA	NA	41.95	NA	NA	NA	NA	NA
200	1.676927286	0.066984003	41.88	NA	NA	41.88	NA	NA	NA	NA	NA
200	1.638358373	0.053870243	41.61	NA	NA	41.61	NA	NA	NA	NA	NA
200	1.648009839	0.071367181	41.6	NA	NA	41.6	NA	NA	NA	NA	NA
200	1.793740619	0.08638345	40.92	NA	NA	40.92	NA	NA	NA	NA	NA
200	1.880987085	0.10692438	40.81	NA	NA	40.81	NA	NA	NA	NA	NA
200	1.77157855	0.095810336	40.55	NA	NA	40.55	NA	NA	NA	NA	NA
200	1.840434508	0.078917236	40.41	NA	NA	40.41	NA	NA	NA	NA	NA
200	1.800128022	0.101294471	40.13	NA	NA	40.13	NA	NA	NA	NA	NA
200	1.797022406	0.070757723	40	NA	NA	40	NA	NA	NA	NA	NA
200	1.861423225	0.088046432	39.54	NA	NA	39.54	NA	NA	NA	NA	NA
200	1.864760197	0.080882431	39.21	NA	NA	39.21	NA	NA	NA	NA	NA
200	1.895356801	0.104741106	39.04	NA	NA	39.04	NA	NA	NA	NA	NA
200	1.758971704	0.05616814	38.5	NA	NA	38.5	NA	NA	NA	NA	NA
200	1.695498389	0.056093792	37.9	NA	NA	37.9	NA	NA	NA	NA	NA
200	1.806303284	0.083182906	37.72	NA	NA	37.72	NA	NA	NA	NA	NA
200	1.794351158	0.051458783	37.26	NA	NA	37.26	NA	NA	NA	NA	NA
200	1.771729583	0.064381322	37.06	NA	NA	37.06	NA	NA	NA	NA	NA
200	1.762524762	0.0583303	36.57	NA	NA	36.57	NA	NA	NA	NA	NA
200	1.853106131	0.099805744	36.35	NA	NA	36.35	NA	NA	NA	NA	NA
