N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
200	0.837627902	0.001974324	45.14	8.79	NA	45.14	linear	1	no	foram	Turborotalia
200	0.841114608	0.002201641	44.83	NA	NA	44.83	NA	NA	NA	NA	NA
200	0.853642744	0.002428606	44.75	NA	NA	44.75	NA	NA	NA	NA	NA
200	0.853644709	0.001928753	44.6	NA	NA	44.6	NA	NA	NA	NA	NA
200	0.862157916	0.003177609	44.53	NA	NA	44.53	NA	NA	NA	NA	NA
200	0.884159237	0.002851544	44.37	NA	NA	44.37	NA	NA	NA	NA	NA
200	0.886537913	0.003272545	44.21	NA	NA	44.21	NA	NA	NA	NA	NA
200	0.903000291	0.003283993	44.14	NA	NA	44.14	NA	NA	NA	NA	NA
200	0.899178883	0.003039705	43.93	NA	NA	43.93	NA	NA	NA	NA	NA
200	0.890827666	0.003160549	43.75	NA	NA	43.75	NA	NA	NA	NA	NA
200	0.905217417	0.002807707	43.72	NA	NA	43.72	NA	NA	NA	NA	NA
200	0.90989038	0.002654746	43.68	NA	NA	43.68	NA	NA	NA	NA	NA
200	0.909730444	0.002559833	43.56	NA	NA	43.56	NA	NA	NA	NA	NA
200	0.910092481	0.003244131	43.45	NA	NA	43.45	NA	NA	NA	NA	NA
200	0.917173723	0.002289465	43.39	NA	NA	43.39	NA	NA	NA	NA	NA
200	0.926244061	0.002485655	43.23	NA	NA	43.23	NA	NA	NA	NA	NA
200	0.91785506	0.003581742	43.05	NA	NA	43.05	NA	NA	NA	NA	NA
200	0.926313647	0.003144885	42.69	NA	NA	42.69	NA	NA	NA	NA	NA
200	0.903642266	0.003868589	42.57	NA	NA	42.57	NA	NA	NA	NA	NA
200	0.906284428	0.002096855	42.43	NA	NA	42.43	NA	NA	NA	NA	NA
200	0.909016587	0.002819418	42.38	NA	NA	42.38	NA	NA	NA	NA	NA
200	0.904807134	0.003510744	42.2	NA	NA	42.2	NA	NA	NA	NA	NA
200	0.890298129	0.003084733	42.12	NA	NA	42.12	NA	NA	NA	NA	NA
200	0.912141125	0.003549487	41.95	NA	NA	41.95	NA	NA	NA	NA	NA
200	0.910613207	0.002664052	41.88	NA	NA	41.88	NA	NA	NA	NA	NA
200	0.900357645	0.002617737	41.61	NA	NA	41.61	NA	NA	NA	NA	NA
200	0.900079733	0.003103487	41.6	NA	NA	41.6	NA	NA	NA	NA	NA
200	0.90981909	0.003795856	40.92	NA	NA	40.92	NA	NA	NA	NA	NA
200	0.925245503	0.00301546	40.81	NA	NA	40.81	NA	NA	NA	NA	NA
200	0.902335465	0.003394737	40.55	NA	NA	40.55	NA	NA	NA	NA	NA
200	0.919144557	0.002806059	40.41	NA	NA	40.41	NA	NA	NA	NA	NA
200	0.900283431	0.003210557	40.13	NA	NA	40.13	NA	NA	NA	NA	NA
200	0.905633876	0.002695156	40	NA	NA	40	NA	NA	NA	NA	NA
200	0.909786067	0.002757973	39.54	NA	NA	39.54	NA	NA	NA	NA	NA
200	0.90600258	0.003712297	39.21	NA	NA	39.21	NA	NA	NA	NA	NA
200	0.907241258	0.003299572	39.04	NA	NA	39.04	NA	NA	NA	NA	NA
200	0.894618336	0.003260586	38.5	NA	NA	38.5	NA	NA	NA	NA	NA
200	0.875571938	0.003346623	37.9	NA	NA	37.9	NA	NA	NA	NA	NA
200	0.89373425	0.003640307	37.72	NA	NA	37.72	NA	NA	NA	NA	NA
200	0.897948537	0.002752469	37.26	NA	NA	37.26	NA	NA	NA	NA	NA
200	0.887807831	0.003095764	37.06	NA	NA	37.06	NA	NA	NA	NA	NA
200	0.901254611	0.002426794	36.57	NA	NA	36.57	NA	NA	NA	NA	NA
200	0.909482831	0.003353067	36.35	NA	NA	36.35	NA	NA	NA	NA	NA
