N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
200	3.328	0.043433166	45.14	8.79	NA	45.14	linear	1	no	foram	Turborotalia
200	3.504	0.054657286	44.83	NA	NA	44.83	NA	NA	NA	NA	NA
200	3.351	0.059697487	44.75	NA	NA	44.75	NA	NA	NA	NA	NA
200	3.559	0.082129648	44.6	NA	NA	44.6	NA	NA	NA	NA	NA
200	3.492	0.118126633	44.53	NA	NA	44.53	NA	NA	NA	NA	NA
200	3.691	0.156300503	44.37	NA	NA	44.37	NA	NA	NA	NA	NA
200	3.813	0.142342714	44.21	NA	NA	44.21	NA	NA	NA	NA	NA
200	3.788	0.129302513	44.14	NA	NA	44.14	NA	NA	NA	NA	NA
200	4.105	0.157160804	43.93	NA	NA	43.93	NA	NA	NA	NA	NA
200	4.086	0.142516583	43.75	NA	NA	43.75	NA	NA	NA	NA	NA
200	4.28	0.16321608	43.72	NA	NA	43.72	NA	NA	NA	NA	NA
200	3.903	0.151146734	43.68	NA	NA	43.68	NA	NA	NA	NA	NA
200	4.18405	0.153312661	43.56	NA	NA	43.56	NA	NA	NA	NA	NA
200	4.196	0.205009045	43.45	NA	NA	43.45	NA	NA	NA	NA	NA
200	4.028	0.173684422	43.39	NA	NA	43.39	NA	NA	NA	NA	NA
200	4.265	0.129020101	43.23	NA	NA	43.23	NA	NA	NA	NA	NA
200	4.403	0.16099598	43.05	NA	NA	43.05	NA	NA	NA	NA	NA
200	4.364	0.188044221	42.69	NA	NA	42.69	NA	NA	NA	NA	NA
200	4.303	0.238382915	42.57	NA	NA	42.57	NA	NA	NA	NA	NA
200	4.411	0.172139698	42.43	NA	NA	42.43	NA	NA	NA	NA	NA
200	4.396	0.16239598	42.38	NA	NA	42.38	NA	NA	NA	NA	NA
200	4.48	0.256884422	42.2	NA	NA	42.2	NA	NA	NA	NA	NA
200	4.347	0.273960804	42.12	NA	NA	42.12	NA	NA	NA	NA	NA
200	4.393	0.218443216	41.95	NA	NA	41.95	NA	NA	NA	NA	NA
200	4.381	0.172300503	41.88	NA	NA	41.88	NA	NA	NA	NA	NA
200	4.521	0.164782915	41.61	NA	NA	41.61	NA	NA	NA	NA	NA
200	4.513	0.160232161	41.6	NA	NA	41.6	NA	NA	NA	NA	NA
200	4.801	0.301305528	40.92	NA	NA	40.92	NA	NA	NA	NA	NA
200	4.426	0.183843216	40.81	NA	NA	40.81	NA	NA	NA	NA	NA
200	4.543	0.193518593	40.55	NA	NA	40.55	NA	NA	NA	NA	NA
200	4.504	0.261692462	40.41	NA	NA	40.41	NA	NA	NA	NA	NA
200	4.569	0.1922	40.13	NA	NA	40.13	NA	NA	NA	NA	NA
200	4.677	0.280473367	40	NA	NA	40	NA	NA	NA	NA	NA
200	4.699	0.183315578	39.54	NA	NA	39.54	NA	NA	NA	NA	NA
200	4.714	0.249451256	39.21	NA	NA	39.21	NA	NA	NA	NA	NA
200	4.63	0.227035176	39.04	NA	NA	39.04	NA	NA	NA	NA	NA
200	4.634	0.210295477	38.5	NA	NA	38.5	NA	NA	NA	NA	NA
200	4.476	0.148566834	37.9	NA	NA	37.9	NA	NA	NA	NA	NA
200	4.649	0.15738593	37.72	NA	NA	37.72	NA	NA	NA	NA	NA
200	4.729	0.170411055	37.26	NA	NA	37.26	NA	NA	NA	NA	NA
200	4.625	0.163994975	37.06	NA	NA	37.06	NA	NA	NA	NA	NA
200	4.584	0.153712563	36.57	NA	NA	36.57	NA	NA	NA	NA	NA
200	4.55	0.159899497	36.35	NA	NA	36.35	NA	NA	NA	NA	NA
