N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
200	1.433651484	0.006702264	45.14	8.79	NA	45.14	linear	1	no	foram	Turborotalia
200	1.42804665	0.007610287	44.83	NA	NA	44.83	NA	NA	NA	NA	NA
200	1.406864197	0.010023405	44.75	NA	NA	44.75	NA	NA	NA	NA	NA
200	1.388867574	0.006924948	44.6	NA	NA	44.6	NA	NA	NA	NA	NA
200	1.380774745	0.011508856	44.53	NA	NA	44.53	NA	NA	NA	NA	NA
200	1.357953875	0.009668195	44.37	NA	NA	44.37	NA	NA	NA	NA	NA
200	1.380620485	0.013694996	44.21	NA	NA	44.21	NA	NA	NA	NA	NA
200	1.383582936	0.013324057	44.14	NA	NA	44.14	NA	NA	NA	NA	NA
200	1.381401356	0.012086436	43.93	NA	NA	43.93	NA	NA	NA	NA	NA
200	1.390461047	0.012285498	43.75	NA	NA	43.75	NA	NA	NA	NA	NA
200	1.340271209	0.010646598	43.72	NA	NA	43.72	NA	NA	NA	NA	NA
200	1.312751224	0.011160358	43.68	NA	NA	43.68	NA	NA	NA	NA	NA
200	1.355505289	0.008119094	43.56	NA	NA	43.56	NA	NA	NA	NA	NA
200	1.367978223	0.012725017	43.45	NA	NA	43.45	NA	NA	NA	NA	NA
200	1.332328181	0.009273938	43.39	NA	NA	43.39	NA	NA	NA	NA	NA
200	1.314160876	0.013225345	43.23	NA	NA	43.23	NA	NA	NA	NA	NA
200	1.3265599	0.015262265	43.05	NA	NA	43.05	NA	NA	NA	NA	NA
200	1.317700306	0.012798856	42.69	NA	NA	42.69	NA	NA	NA	NA	NA
200	1.390393098	0.016195144	42.57	NA	NA	42.57	NA	NA	NA	NA	NA
200	1.364601551	0.009236504	42.43	NA	NA	42.43	NA	NA	NA	NA	NA
200	1.353075014	0.010072381	42.38	NA	NA	42.38	NA	NA	NA	NA	NA
200	1.368286919	0.014577766	42.2	NA	NA	42.2	NA	NA	NA	NA	NA
200	1.38664333	0.011783448	42.12	NA	NA	42.12	NA	NA	NA	NA	NA
200	1.351168248	0.015760829	41.95	NA	NA	41.95	NA	NA	NA	NA	NA
200	1.382169279	0.012649742	41.88	NA	NA	41.88	NA	NA	NA	NA	NA
200	1.406490271	0.011543124	41.61	NA	NA	41.61	NA	NA	NA	NA	NA
200	1.415345064	0.013013097	41.6	NA	NA	41.6	NA	NA	NA	NA	NA
200	1.336197449	0.015092274	40.92	NA	NA	40.92	NA	NA	NA	NA	NA
200	1.31539121	0.014153975	40.81	NA	NA	40.81	NA	NA	NA	NA	NA
200	1.368704556	0.015768383	40.55	NA	NA	40.55	NA	NA	NA	NA	NA
200	1.316264605	0.016410824	40.41	NA	NA	40.41	NA	NA	NA	NA	NA
200	1.383497167	0.01497844	40.13	NA	NA	40.13	NA	NA	NA	NA	NA
200	1.371993739	0.028302848	40	NA	NA	40	NA	NA	NA	NA	NA
200	1.399275464	0.017601542	39.54	NA	NA	39.54	NA	NA	NA	NA	NA
200	1.38329357	0.019454589	39.21	NA	NA	39.21	NA	NA	NA	NA	NA
200	1.382034963	0.015632851	39.04	NA	NA	39.04	NA	NA	NA	NA	NA
200	1.421560383	0.021349148	38.5	NA	NA	38.5	NA	NA	NA	NA	NA
200	1.49244071	0.02481438	37.9	NA	NA	37.9	NA	NA	NA	NA	NA
200	1.43642001	0.01629776	37.72	NA	NA	37.72	NA	NA	NA	NA	NA
200	1.451013014	0.015011904	37.26	NA	NA	37.26	NA	NA	NA	NA	NA
200	1.446982963	0.015159712	37.06	NA	NA	37.06	NA	NA	NA	NA	NA
200	1.413281055	0.011886424	36.57	NA	NA	36.57	NA	NA	NA	NA	NA
200	1.370103068	0.022262059	36.35	NA	NA	36.35	NA	NA	NA	NA	NA
