N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
200	0.9	0.090452261	45.14	8.79	NA	45.14	linear	1	no	foram	Turborotalia
200	0.94	0.056683417	44.83	NA	NA	44.83	NA	NA	NA	NA	NA
200	0.96	0.038592965	44.75	NA	NA	44.75	NA	NA	NA	NA	NA
200	0.94	0.056683417	44.6	NA	NA	44.6	NA	NA	NA	NA	NA
200	0.92	0.073969849	44.53	NA	NA	44.53	NA	NA	NA	NA	NA
200	0.84	0.135075377	44.37	NA	NA	44.37	NA	NA	NA	NA	NA
200	0.825	0.145100503	44.21	NA	NA	44.21	NA	NA	NA	NA	NA
200	0.855	0.12459799	44.14	NA	NA	44.14	NA	NA	NA	NA	NA
200	0.725	0.200376884	43.93	NA	NA	43.93	NA	NA	NA	NA	NA
200	0.68	0.218693467	43.75	NA	NA	43.75	NA	NA	NA	NA	NA
200	0.645	0.230125628	43.72	NA	NA	43.72	NA	NA	NA	NA	NA
200	0.74	0.193366834	43.68	NA	NA	43.68	NA	NA	NA	NA	NA
200	0.675	0.220477387	43.56	NA	NA	43.56	NA	NA	NA	NA	NA
200	0.565	0.24701005	43.45	NA	NA	43.45	NA	NA	NA	NA	NA
200	0.665	0.223894472	43.39	NA	NA	43.39	NA	NA	NA	NA	NA
200	0.605	0.240175879	43.23	NA	NA	43.23	NA	NA	NA	NA	NA
200	0.595	0.24218593	43.05	NA	NA	43.05	NA	NA	NA	NA	NA
200	0.625	0.235552764	42.69	NA	NA	42.69	NA	NA	NA	NA	NA
200	0.61	0.239095477	42.57	NA	NA	42.57	NA	NA	NA	NA	NA
200	0.605	0.240175879	42.43	NA	NA	42.43	NA	NA	NA	NA	NA
200	0.58	0.244824121	42.38	NA	NA	42.38	NA	NA	NA	NA	NA
200	0.535	0.250025126	42.2	NA	NA	42.2	NA	NA	NA	NA	NA
200	0.61	0.239095477	42.12	NA	NA	42.12	NA	NA	NA	NA	NA
200	0.585	0.243994975	41.95	NA	NA	41.95	NA	NA	NA	NA	NA
200	0.525	0.250628141	41.88	NA	NA	41.88	NA	NA	NA	NA	NA
200	0.51	0.251155779	41.61	NA	NA	41.61	NA	NA	NA	NA	NA
200	0.515	0.251030151	41.6	NA	NA	41.6	NA	NA	NA	NA	NA
200	0.39	0.239095477	40.92	NA	NA	40.92	NA	NA	NA	NA	NA
200	0.305	0.213040201	40.81	NA	NA	40.81	NA	NA	NA	NA	NA
200	0.395	0.240175879	40.55	NA	NA	40.55	NA	NA	NA	NA	NA
200	0.415	0.243994975	40.41	NA	NA	40.41	NA	NA	NA	NA	NA
200	0.28	0.202613065	40.13	NA	NA	40.13	NA	NA	NA	NA	NA
200	0.335	0.223894472	40	NA	NA	40	NA	NA	NA	NA	NA
200	0.225	0.175251256	39.54	NA	NA	39.54	NA	NA	NA	NA	NA
200	0.165	0.138467337	39.21	NA	NA	39.21	NA	NA	NA	NA	NA
200	0.125	0.109924623	39.04	NA	NA	39.04	NA	NA	NA	NA	NA
200	0.1	0.090452261	38.5	NA	NA	38.5	NA	NA	NA	NA	NA
200	0.075	0.069723618	37.9	NA	NA	37.9	NA	NA	NA	NA	NA
200	0.085	0.078165829	37.72	NA	NA	37.72	NA	NA	NA	NA	NA
200	0.07	0.065427136	37.26	NA	NA	37.26	NA	NA	NA	NA	NA
200	0.11	0.09839196	37.06	NA	NA	37.06	NA	NA	NA	NA	NA
200	0.2	0.16080402	36.57	NA	NA	36.57	NA	NA	NA	NA	NA
200	0.16	0.135075377	36.35	NA	NA	36.35	NA	NA	NA	NA	NA
