N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
200	1.538423127	0.059962797	45.14	8.79	NA	45.14	linear	1	no	foram	Turborotalia
200	1.589242173	0.106654867	44.83	NA	NA	44.83	NA	NA	NA	NA	NA
200	1.648261736	0.113035987	44.75	NA	NA	44.75	NA	NA	NA	NA	NA
200	1.526723726	0.085509957	44.6	NA	NA	44.6	NA	NA	NA	NA	NA
200	1.670090273	0.147853967	44.53	NA	NA	44.53	NA	NA	NA	NA	NA
200	1.555603925	0.156635905	44.37	NA	NA	44.37	NA	NA	NA	NA	NA
200	1.392883646	0.081072093	44.21	NA	NA	44.21	NA	NA	NA	NA	NA
200	1.261652837	0.125848249	44.14	NA	NA	44.14	NA	NA	NA	NA	NA
200	1.213468954	0.114466528	43.93	NA	NA	43.93	NA	NA	NA	NA	NA
200	1.328208391	0.064342319	43.75	NA	NA	43.75	NA	NA	NA	NA	NA
200	1.331667888	0.08637263	43.72	NA	NA	43.72	NA	NA	NA	NA	NA
200	1.383833412	0.071987363	43.68	NA	NA	43.68	NA	NA	NA	NA	NA
200	1.280531047	0.061194528	43.56	NA	NA	43.56	NA	NA	NA	NA	NA
200	1.290529794	0.065525735	43.45	NA	NA	43.45	NA	NA	NA	NA	NA
200	1.317568933	0.069627278	43.39	NA	NA	43.39	NA	NA	NA	NA	NA
200	1.315914476	0.086948105	43.23	NA	NA	43.23	NA	NA	NA	NA	NA
200	1.218897015	0.085953874	43.05	NA	NA	43.05	NA	NA	NA	NA	NA
200	1.170984196	0.069793456	42.69	NA	NA	42.69	NA	NA	NA	NA	NA
200	1.12812663	0.077662004	42.57	NA	NA	42.57	NA	NA	NA	NA	NA
200	1.210004199	0.050916875	42.43	NA	NA	42.43	NA	NA	NA	NA	NA
200	1.192006794	0.054449687	42.38	NA	NA	42.38	NA	NA	NA	NA	NA
200	1.177911533	0.084225245	42.2	NA	NA	42.2	NA	NA	NA	NA	NA
200	1.252905509	0.062744875	42.12	NA	NA	42.12	NA	NA	NA	NA	NA
200	1.140023836	0.064110649	41.95	NA	NA	41.95	NA	NA	NA	NA	NA
200	1.096735612	0.05958616	41.88	NA	NA	41.88	NA	NA	NA	NA	NA
200	1.072115305	0.057933574	41.61	NA	NA	41.61	NA	NA	NA	NA	NA
200	1.037058007	0.049350706	41.6	NA	NA	41.6	NA	NA	NA	NA	NA
200	1.171563169	0.04886814	40.92	NA	NA	40.92	NA	NA	NA	NA	NA
200	1.179322983	0.070410016	40.81	NA	NA	40.81	NA	NA	NA	NA	NA
200	1.145648011	0.051414698	40.55	NA	NA	40.55	NA	NA	NA	NA	NA
200	1.175831997	0.058521685	40.41	NA	NA	40.41	NA	NA	NA	NA	NA
200	1.042490196	0.049522879	40.13	NA	NA	40.13	NA	NA	NA	NA	NA
200	1.108167897	0.052133842	40	NA	NA	40	NA	NA	NA	NA	NA
200	0.966506783	0.03261051	39.54	NA	NA	39.54	NA	NA	NA	NA	NA
200	1.046302106	0.028975873	39.21	NA	NA	39.21	NA	NA	NA	NA	NA
200	1.053452801	0.028280905	39.04	NA	NA	39.04	NA	NA	NA	NA	NA
200	1.05891497	0.044851264	38.5	NA	NA	38.5	NA	NA	NA	NA	NA
200	1.057563963	0.047292594	37.9	NA	NA	37.9	NA	NA	NA	NA	NA
200	0.968577651	0.02574387	37.72	NA	NA	37.72	NA	NA	NA	NA	NA
200	1.031698831	0.0199705	37.26	NA	NA	37.26	NA	NA	NA	NA	NA
200	1.062413683	0.026701344	37.06	NA	NA	37.06	NA	NA	NA	NA	NA
200	1.163720691	0.039647739	36.57	NA	NA	36.57	NA	NA	NA	NA	NA
200	1.095589069	0.03323463	36.35	NA	NA	36.35	NA	NA	NA	NA	NA
