N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
200	2.733567925	0.039636455	45.14	8.79	NA	45.14	linear	1	no	foram	Turborotalia
200	2.766120431	0.06591757	44.83	NA	NA	44.83	NA	NA	NA	NA	NA
200	2.802586431	0.068244958	44.75	NA	NA	44.75	NA	NA	NA	NA	NA
200	2.705802866	0.051230465	44.6	NA	NA	44.6	NA	NA	NA	NA	NA
200	2.804666333	0.088368689	44.53	NA	NA	44.53	NA	NA	NA	NA	NA
200	2.698259566	0.093304686	44.37	NA	NA	44.37	NA	NA	NA	NA	NA
200	2.606603441	0.056765462	44.21	NA	NA	44.21	NA	NA	NA	NA	NA
200	2.495751475	0.086269726	44.14	NA	NA	44.14	NA	NA	NA	NA	NA
200	2.4428146	0.084757891	43.93	NA	NA	43.93	NA	NA	NA	NA	NA
200	2.551538916	0.054468855	43.75	NA	NA	43.75	NA	NA	NA	NA	NA
200	2.533810363	0.066420581	43.72	NA	NA	43.72	NA	NA	NA	NA	NA
200	2.55615779	0.05502129	43.68	NA	NA	43.68	NA	NA	NA	NA	NA
200	2.508108394	0.050194471	43.56	NA	NA	43.56	NA	NA	NA	NA	NA
200	2.492027011	0.054347873	43.45	NA	NA	43.45	NA	NA	NA	NA	NA
200	2.503590426	0.051156368	43.39	NA	NA	43.39	NA	NA	NA	NA	NA
200	2.481763198	0.06886596	43.23	NA	NA	43.23	NA	NA	NA	NA	NA
200	2.396345099	0.079174977	43.05	NA	NA	43.05	NA	NA	NA	NA	NA
200	2.370261194	0.063403079	42.69	NA	NA	42.69	NA	NA	NA	NA	NA
200	2.371246509	0.080497702	42.57	NA	NA	42.57	NA	NA	NA	NA	NA
200	2.435660405	0.043844166	42.43	NA	NA	42.43	NA	NA	NA	NA	NA
200	2.396923609	0.049376865	42.38	NA	NA	42.38	NA	NA	NA	NA	NA
200	2.386034839	0.074350451	42.2	NA	NA	42.2	NA	NA	NA	NA	NA
200	2.491456423	0.046456892	42.12	NA	NA	42.12	NA	NA	NA	NA	NA
200	2.37211127	0.053580449	41.95	NA	NA	41.95	NA	NA	NA	NA	NA
200	2.353304657	0.060319116	41.88	NA	NA	41.88	NA	NA	NA	NA	NA
200	2.329595607	0.057594508	41.61	NA	NA	41.61	NA	NA	NA	NA	NA
200	2.303286389	0.051036849	41.6	NA	NA	41.6	NA	NA	NA	NA	NA
200	2.370655719	0.040897187	40.92	NA	NA	40.92	NA	NA	NA	NA	NA
200	2.36115169	0.050366664	40.81	NA	NA	40.81	NA	NA	NA	NA	NA
200	2.37925087	0.038264416	40.55	NA	NA	40.55	NA	NA	NA	NA	NA
200	2.360590148	0.049591596	40.41	NA	NA	40.41	NA	NA	NA	NA	NA
200	2.297987905	0.043143836	40.13	NA	NA	40.13	NA	NA	NA	NA	NA
200	2.334857422	0.041168502	40	NA	NA	40	NA	NA	NA	NA	NA
200	2.242711903	0.032356129	39.54	NA	NA	39.54	NA	NA	NA	NA	NA
200	2.32043704	0.029561618	39.21	NA	NA	39.21	NA	NA	NA	NA	NA
200	2.319994828	0.028621821	39.04	NA	NA	39.04	NA	NA	NA	NA	NA
200	2.356367278	0.036185211	38.5	NA	NA	38.5	NA	NA	NA	NA	NA
200	2.395572017	0.035978963	37.9	NA	NA	37.9	NA	NA	NA	NA	NA
200	2.281345986	0.029859473	37.72	NA	NA	37.72	NA	NA	NA	NA	NA
200	2.350339562	0.025291383	37.26	NA	NA	37.26	NA	NA	NA	NA	NA
200	2.381203521	0.029613382	37.06	NA	NA	37.06	NA	NA	NA	NA	NA
200	2.451492895	0.034060401	36.57	NA	NA	36.57	NA	NA	NA	NA	NA
200	2.368606839	0.033339129	36.35	NA	NA	36.35	NA	NA	NA	NA	NA
