N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
200	1.910243101	0.021143508	45.14	8.79	NA	45.14	linear	1	no	foram	Turborotalia
200	1.941593194	0.03595316	44.83	NA	NA	44.83	NA	NA	NA	NA	NA
200	1.996587237	0.03254364	44.75	NA	NA	44.75	NA	NA	NA	NA	NA
200	1.952613978	0.030816927	44.6	NA	NA	44.6	NA	NA	NA	NA	NA
200	2.035760142	0.039150612	44.53	NA	NA	44.53	NA	NA	NA	NA	NA
200	1.990794926	0.046068089	44.37	NA	NA	44.37	NA	NA	NA	NA	NA
200	1.895352972	0.032629422	44.21	NA	NA	44.21	NA	NA	NA	NA	NA
200	1.811765489	0.050605415	44.14	NA	NA	44.14	NA	NA	NA	NA	NA
200	1.774835897	0.048900143	43.93	NA	NA	43.93	NA	NA	NA	NA	NA
200	1.841916922	0.033021924	43.75	NA	NA	43.75	NA	NA	NA	NA	NA
200	1.896767749	0.041039098	43.72	NA	NA	43.72	NA	NA	NA	NA	NA
200	1.954044441	0.034518878	43.68	NA	NA	43.68	NA	NA	NA	NA	NA
200	1.85424432	0.027160139	43.56	NA	NA	43.56	NA	NA	NA	NA	NA
200	1.828115279	0.030675715	43.45	NA	NA	43.45	NA	NA	NA	NA	NA
200	1.884223584	0.03048713	43.39	NA	NA	43.39	NA	NA	NA	NA	NA
200	1.897177416	0.046337235	43.23	NA	NA	43.23	NA	NA	NA	NA	NA
200	1.812639277	0.040597487	43.05	NA	NA	43.05	NA	NA	NA	NA	NA
200	1.805038547	0.036417754	42.69	NA	NA	42.69	NA	NA	NA	NA	NA
200	1.711959073	0.039282005	42.57	NA	NA	42.57	NA	NA	NA	NA	NA
200	1.790025247	0.026544165	42.43	NA	NA	42.43	NA	NA	NA	NA	NA
200	1.776386027	0.028318582	42.38	NA	NA	42.38	NA	NA	NA	NA	NA
200	1.749634295	0.038384218	42.2	NA	NA	42.2	NA	NA	NA	NA	NA
200	1.803006677	0.027800201	42.12	NA	NA	42.12	NA	NA	NA	NA	NA
200	1.762751021	0.028725716	41.95	NA	NA	41.95	NA	NA	NA	NA	NA
200	1.708014285	0.030817201	41.88	NA	NA	41.88	NA	NA	NA	NA	NA
200	1.66123755	0.030278936	41.61	NA	NA	41.61	NA	NA	NA	NA	NA
200	1.633856869	0.029933658	41.6	NA	NA	41.6	NA	NA	NA	NA	NA
200	1.783958112	0.032032849	40.92	NA	NA	40.92	NA	NA	NA	NA	NA
200	1.804898749	0.040145596	40.81	NA	NA	40.81	NA	NA	NA	NA	NA
200	1.749322542	0.034551916	40.55	NA	NA	40.55	NA	NA	NA	NA	NA
200	1.80342684	0.034169873	40.41	NA	NA	40.41	NA	NA	NA	NA	NA
200	1.66955698	0.030556733	40.13	NA	NA	40.13	NA	NA	NA	NA	NA
200	1.718192104	0.040064046	40	NA	NA	40	NA	NA	NA	NA	NA
200	1.612620869	0.026782053	39.54	NA	NA	39.54	NA	NA	NA	NA	NA
200	1.688468167	0.024302406	39.21	NA	NA	39.21	NA	NA	NA	NA	NA
200	1.687166803	0.021411661	39.04	NA	NA	39.04	NA	NA	NA	NA	NA
200	1.671203779	0.03736291	38.5	NA	NA	38.5	NA	NA	NA	NA	NA
200	1.619173768	0.036335116	37.9	NA	NA	37.9	NA	NA	NA	NA	NA
200	1.59702574	0.023786275	37.72	NA	NA	37.72	NA	NA	NA	NA	NA
200	1.625890606	0.013911503	37.26	NA	NA	37.26	NA	NA	NA	NA	NA
200	1.651777768	0.015224668	37.06	NA	NA	37.06	NA	NA	NA	NA	NA
200	1.740467897	0.019797714	36.57	NA	NA	36.57	NA	NA	NA	NA	NA
200	1.741063331	0.027404082	36.35	NA	NA	36.35	NA	NA	NA	NA	NA
