#Prothero and Heaton 1996 M1-3 length											
N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
7	46.538	10.08380025	34.358	1.301	NA	34.358	linear	1	no	mammal	Miniochoerus
7	47.006	9.42797025	34.184	NA	NA	34.184	NA	NA	NA	NA	NA
6	44.304	2.119936	34.108	NA	NA	34.108	NA	NA	NA	NA	NA
25	41.661	10.686361	34.013	NA	NA	34.013	NA	NA	NA	NA	NA
10	41.427	2.719201	33.903	NA	NA	33.903	NA	NA	NA	NA	NA
7	42.55	2.383936	33.677	NA	NA	33.677	NA	NA	NA	NA	NA
6	40.959	2.365444	33.582	NA	NA	33.582	NA	NA	NA	NA	NA
11	41.392	6.325225	33.459	NA	NA	33.459	NA	NA	NA	NA	NA
8	38.433	6.235009	33.294	NA	NA	33.294	NA	NA	NA	NA	NA
6	38.386	6.411024	33.057	NA	NA	33.057	NA	NA	NA	NA	NA
