#Renaud and Schmidt 2003 core 2498 MLs											
N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
33	373	39563.39063	127.4	0.13	0.001030928	0	linear	1	no	foram	Globorotalia_truncatulinoides
53	384	26712.1325	122.2	NA	NA	0.005360825	NA	NA	NA	NA	NA
40	414	13905.441	119.1	NA	NA	0.008556701	NA	NA	NA	NA	NA
33	413	12917.72543	115.9	NA	NA	0.01185567	NA	NA	NA	NA	NA
50	407	17559.38	110.5	NA	NA	0.01742268	NA	NA	NA	NA	NA
45	424	18653.832	105.1	NA	NA	0.022989691	NA	NA	NA	NA	NA
38	433	21488.5592	101.4	NA	NA	0.026804124	NA	NA	NA	NA	NA
29	403	19415.95313	99	NA	NA	0.029278351	NA	NA	NA	NA	NA
30	408	16836.483	96.5	NA	NA	0.03185567	NA	NA	NA	NA	NA
27	393	11608.38608	90.2	NA	NA	0.038350515	NA	NA	NA	NA	NA
54	421	14128.05375	86.3	NA	NA	0.042371134	NA	NA	NA	NA	NA
48	436	25646.5548	79.9	NA	NA	0.048969072	NA	NA	NA	NA	NA
32	421	19129.68	75.5	NA	NA	0.053505155	NA	NA	NA	NA	NA
44	427	20700.0684	70.2	NA	NA	0.058969072	NA	NA	NA	NA	NA
8	404	3566.7458	66.5	NA	NA	0.062783505	NA	NA	NA	NA	NA
47	441	28085.22718	61	NA	NA	0.068453608	NA	NA	NA	NA	NA
47	397	13928.74258	56.9	NA	NA	0.072680412	NA	NA	NA	NA	NA
58	371	14635.32705	54.3	NA	NA	0.075360825	NA	NA	NA	NA	NA
39	397	22585.84478	52.3	NA	NA	0.07742268	NA	NA	NA	NA	NA
33	395	16914.7968	50.2	NA	NA	0.079587629	NA	NA	NA	NA	NA
32	384	9275.22	44.9	NA	NA	0.085051546	NA	NA	NA	NA	NA
28	391	14593.8492	38.9	NA	NA	0.091237113	NA	NA	NA	NA	NA
47	396	19111.47958	33.7	NA	NA	0.096597938	NA	NA	NA	NA	NA
41	392	14253.07703	30.5	NA	NA	0.099896907	NA	NA	NA	NA	NA
65	383	21013.226	25.6	NA	NA	0.104948454	NA	NA	NA	NA	NA
76	414	24310.3651	19.2	NA	NA	0.111546392	NA	NA	NA	NA	NA
35	408	19634.27288	18	NA	NA	0.112783505	NA	NA	NA	NA	NA
27	389	22581.8928	15.4	NA	NA	0.115463918	NA	NA	NA	NA	NA
29	384	22219.2896	13.4	NA	NA	0.117525773	NA	NA	NA	NA	NA
31	384	32231.94078	11.5	NA	NA	0.119484536	NA	NA	NA	NA	NA
59	408	28738.0091	6.1	NA	NA	0.125051546	NA	NA	NA	NA	NA
74	419	22417.11785	1.3	NA	NA	0.13	NA	NA	NA	NA	NA
