#Theriot et al 2006 dia											
N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
11	42.755	42.21	13728.276	0.013728276	NA	0.013728276	linear	1	no	diatom	Stephanodiscus_yellowstonensis
25	37.006	42.45	13599.372	NA	NA	0.013599372	NA	NA	NA	NA	NA
50	42.56	34.3	13470.468	NA	NA	0.013470468	NA	NA	NA	NA	NA
8	39.336	53.88	13212.66	NA	NA	0.01321266	NA	NA	NA	NA	NA
27	43.637	63.6	12954.852	NA	NA	0.012954852	NA	NA	NA	NA	NA
20	40.532	42.61	12439.236	NA	NA	0.012439236	NA	NA	NA	NA	NA
42	41.834	32.9	12310.332	NA	NA	0.012310332	NA	NA	NA	NA	NA
42	39.465	26.43	12181.428	NA	NA	0.012181428	NA	NA	NA	NA	NA
23	45.86	67.82	11859.168	NA	NA	0.011859168	NA	NA	NA	NA	NA
50	51.477	41.34	11730.264	NA	NA	0.011730264	NA	NA	NA	NA	NA
50	50.652	31.02	11472.456	NA	NA	0.011472456	NA	NA	NA	NA	NA
25	51.255	48.99	11343.552	NA	NA	0.011343552	NA	NA	NA	NA	NA
50	54.608	62.55	11214.648	NA	NA	0.011214648	NA	NA	NA	NA	NA
50	52.387	37.1	10956.84	NA	NA	0.01095684	NA	NA	NA	NA	NA
50	58.573	52.72	10699.032	NA	NA	0.010699032	NA	NA	NA	NA	NA
50	54.886	54.38	10441.224	NA	NA	0.010441224	NA	NA	NA	NA	NA
50	54.675	45.74	10247.868	NA	NA	0.010247868	NA	NA	NA	NA	NA
25	61.979	39.14	10183.416	NA	NA	0.010183416	NA	NA	NA	NA	NA
25	64.34	47.27	10118.964	NA	NA	0.010118964	NA	NA	NA	NA	NA
50	61.047	28.06	9990.06	NA	NA	0.00999006	NA	NA	NA	NA	NA
25	61.45	30.88	9925.608	NA	NA	0.009925608	NA	NA	NA	NA	NA
25	61.292	37.38	9861.156	NA	NA	0.009861156	NA	NA	NA	NA	NA
25	59.49	46.06	9796.704	NA	NA	0.009796704	NA	NA	NA	NA	NA
50	61.579	52.16	9732.252	NA	NA	0.009732252	NA	NA	NA	NA	NA
50	52.063	17.1	9474.444	NA	NA	0.009474444	NA	NA	NA	NA	NA
50	56.721	30.06	9216.636	NA	NA	0.009216636	NA	NA	NA	NA	NA
50	53.698	26.25	8958.828	NA	NA	0.008958828	NA	NA	NA	NA	NA
50	50.196	32.65	8765.472	NA	NA	0.008765472	NA	NA	NA	NA	NA
50	55.888	72.49	8507.664	NA	NA	0.008507664	NA	NA	NA	NA	NA
50	56.747	36.93	8249.856	NA	NA	0.008249856	NA	NA	NA	NA	NA
50	57.848	72.57	7992.048	NA	NA	0.007992048	NA	NA	NA	NA	NA
50	53.019	32.09	7734.24	NA	NA	0.00773424	NA	NA	NA	NA	NA
50	51.615	54.39	7476.432	NA	NA	0.007476432	NA	NA	NA	NA	NA
50	51.893	86.47	7218.624	NA	NA	0.007218624	NA	NA	NA	NA	NA
50	47.959	32.36	6960.816	NA	NA	0.006960816	NA	NA	NA	NA	NA
50	52.479	72.06	6703.008	NA	NA	0.006703008	NA	NA	NA	NA	NA
50	49.718	43.27	6445.2	NA	NA	0.0064452	NA	NA	NA	NA	NA
50	46.216	41.93	6187.392	NA	NA	0.006187392	NA	NA	NA	NA	NA
50	46.71	72.66	5929.584	NA	NA	0.005929584	NA	NA	NA	NA	NA
50	47.126	21.76	5671.776	NA	NA	0.005671776	NA	NA	NA	NA	NA
56	46.98	19.86	5542.872	NA	NA	0.005542872	NA	NA	NA	NA	NA
50	43.872	80.8	5285.064	NA	NA	0.005285064	NA	NA	NA	NA	NA
50	45.985	86.03	5027.256	NA	NA	0.005027256	NA	NA	NA	NA	NA
50	47.034	72.57	4769.448	NA	NA	0.004769448	NA	NA	NA	NA	NA
50	43.424	34.05	4511.64	NA	NA	0.00451164	NA	NA	NA	NA	NA
50	46.201	89.38	4253.832	NA	NA	0.004253832	NA	NA	NA	NA	NA
50	46.232	49.76	3996.024	NA	NA	0.003996024	NA	NA	NA	NA	NA
50	44.195	87.44	3931.572	NA	NA	0.003931572	NA	NA	NA	NA	NA
50	44.165	73.89	3673.764	NA	NA	0.003673764	NA	NA	NA	NA	NA
50	41.311	52.79	3415.956	NA	NA	0.003415956	NA	NA	NA	NA	NA
50	45.908	35.41	3093.696	NA	NA	0.003093696	NA	NA	NA	NA	NA
50	41.727	47.33	2835.888	NA	NA	0.002835888	NA	NA	NA	NA	NA
50	44.705	109.29	2578.08	NA	NA	0.00257808	NA	NA	NA	NA	NA
50	49.487	55.01	2320.272	NA	NA	0.002320272	NA	NA	NA	NA	NA
50	42.236	67.52	2062.464	NA	NA	0.002062464	NA	NA	NA	NA	NA
50	46.139	35.34	1804.656	NA	NA	0.001804656	NA	NA	NA	NA	NA
50	46.837	27.77	1611.3	NA	NA	0.0016113	NA	NA	NA	NA	NA
50	43.224	33.78	1353.492	NA	NA	0.001353492	NA	NA	NA	NA	NA
50	46	57.96	1095.684	NA	NA	0.001095684	NA	NA	NA	NA	NA
50	46.293	60.45	837.876	NA	NA	0.000837876	NA	NA	NA	NA	NA
50	47.882	74.51	580.068	NA	NA	0.000580068	NA	NA	NA	NA	NA
50	45.167	41.38	322.26	NA	NA	0.00032226	NA	NA	NA	NA	NA
50	49.349	77	0	NA	NA	0	NA	NA	NA	NA	NA
