#Theriot et al 2006 ribs											
N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
11	57.333	112.42	13728.276	0.013728276	NA	0.013728276	linear	1	no	diatom	Stephanodiscus_yellowstonensis
25	48.88	112.11	13599.372	NA	NA	0.013599372	NA	NA	NA	NA	NA
50	61.4	134.33	13470.468	NA	NA	0.013470468	NA	NA	NA	NA	NA
8	52.375	143.69	13212.66	NA	NA	0.01321266	NA	NA	NA	NA	NA
27	58.172	229.28	12954.852	NA	NA	0.012954852	NA	NA	NA	NA	NA
20	54.5	115.41	12439.236	NA	NA	0.012439236	NA	NA	NA	NA	NA
42	49.571	108.45	12310.332	NA	NA	0.012310332	NA	NA	NA	NA	NA
42	49.857	95.2	12181.428	NA	NA	0.012181428	NA	NA	NA	NA	NA
23	69.217	381.07	11859.168	NA	NA	0.011859168	NA	NA	NA	NA	NA
50	72.66	169.44	11730.264	NA	NA	0.011730264	NA	NA	NA	NA	NA
50	79.176	151.19	11472.456	NA	NA	0.011472456	NA	NA	NA	NA	NA
25	77.76	204.12	11343.552	NA	NA	0.011343552	NA	NA	NA	NA	NA
50	94.9	280.09	11214.648	NA	NA	0.011214648	NA	NA	NA	NA	NA
50	82.84	255.81	10956.84	NA	NA	0.01095684	NA	NA	NA	NA	NA
50	91.04	284.87	10699.032	NA	NA	0.010699032	NA	NA	NA	NA	NA
50	85.88	256.61	10441.224	NA	NA	0.010441224	NA	NA	NA	NA	NA
50	85.059	216.09	10247.868	NA	NA	0.010247868	NA	NA	NA	NA	NA
25	97.52	248.91	10183.416	NA	NA	0.010183416	NA	NA	NA	NA	NA
25	102.16	253.54	10118.964	NA	NA	0.010118964	NA	NA	NA	NA	NA
50	95.804	166.72	9990.06	NA	NA	0.00999006	NA	NA	NA	NA	NA
25	93.8	184.91	9925.608	NA	NA	0.009925608	NA	NA	NA	NA	NA
25	90.6	251.67	9861.156	NA	NA	0.009861156	NA	NA	NA	NA	NA
25	89.04	266.21	9796.704	NA	NA	0.009796704	NA	NA	NA	NA	NA
50	91.882	276.29	9732.252	NA	NA	0.009732252	NA	NA	NA	NA	NA
50	80.16	187.03	9474.444	NA	NA	0.009474444	NA	NA	NA	NA	NA
50	88.92	184.2	9216.636	NA	NA	0.009216636	NA	NA	NA	NA	NA
50	79.44	118.2	8958.828	NA	NA	0.008958828	NA	NA	NA	NA	NA
50	70.1	110.94	8765.472	NA	NA	0.008765472	NA	NA	NA	NA	NA
50	82.078	219.42	8507.664	NA	NA	0.008507664	NA	NA	NA	NA	NA
50	83.588	165.41	8249.856	NA	NA	0.008249856	NA	NA	NA	NA	NA
50	86.08	257.92	7992.048	NA	NA	0.007992048	NA	NA	NA	NA	NA
50	76.72	146.58	7734.24	NA	NA	0.00773424	NA	NA	NA	NA	NA
50	79.32	235.9	7476.432	NA	NA	0.007476432	NA	NA	NA	NA	NA
50	80.36	249.73	7218.624	NA	NA	0.007218624	NA	NA	NA	NA	NA
50	72.18	109.83	6960.816	NA	NA	0.006960816	NA	NA	NA	NA	NA
50	78.32	277.56	6703.008	NA	NA	0.006703008	NA	NA	NA	NA	NA
50	76.2	150.09	6445.2	NA	NA	0.0064452	NA	NA	NA	NA	NA
50	69.569	154.18	6187.392	NA	NA	0.006187392	NA	NA	NA	NA	NA
50	70.52	225.57	5929.584	NA	NA	0.005929584	NA	NA	NA	NA	NA
50	71.44	108.91	5671.776	NA	NA	0.005671776	NA	NA	NA	NA	NA
56	74.5	96.86	5542.872	NA	NA	0.005542872	NA	NA	NA	NA	NA
50	67.76	265.89	5285.064	NA	NA	0.005285064	NA	NA	NA	NA	NA
50	68.46	339.22	5027.256	NA	NA	0.005027256	NA	NA	NA	NA	NA
50	72.92	267.42	4769.448	NA	NA	0.004769448	NA	NA	NA	NA	NA
50	66.08	123.74	4511.64	NA	NA	0.00451164	NA	NA	NA	NA	NA
50	69.843	255.2	4253.832	NA	NA	0.004253832	NA	NA	NA	NA	NA
50	70.34	180.61	3996.024	NA	NA	0.003996024	NA	NA	NA	NA	NA
50	67.06	327.72	3931.572	NA	NA	0.003931572	NA	NA	NA	NA	NA
50	66.06	215.44	3673.764	NA	NA	0.003673764	NA	NA	NA	NA	NA
50	64.56	210.22	3415.956	NA	NA	0.003415956	NA	NA	NA	NA	NA
50	69.14	112.08	3093.696	NA	NA	0.003093696	NA	NA	NA	NA	NA
50	63.64	152.6	2835.888	NA	NA	0.002835888	NA	NA	NA	NA	NA
50	70.3	358.95	2578.08	NA	NA	0.00257808	NA	NA	NA	NA	NA
50	79.18	222.31	2320.272	NA	NA	0.002320272	NA	NA	NA	NA	NA
50	64.74	232.23	2062.464	NA	NA	0.002062464	NA	NA	NA	NA	NA
50	74.88	129.5	1804.656	NA	NA	0.001804656	NA	NA	NA	NA	NA
50	74.49	194.1	1611.3	NA	NA	0.0016113	NA	NA	NA	NA	NA
50	64.2	115.93	1353.492	NA	NA	0.001353492	NA	NA	NA	NA	NA
50	73.08	226.47	1095.684	NA	NA	0.001095684	NA	NA	NA	NA	NA
50	70.18	251.57	837.876	NA	NA	0.000837876	NA	NA	NA	NA	NA
50	72.6	264.42	580.068	NA	NA	0.000580068	NA	NA	NA	NA	NA
50	68.36	164.4	322.26	NA	NA	0.00032226	NA	NA	NA	NA	NA
50	69.08	199.06	0	NA	NA	0	NA	NA	NA	NA	NA
