#Theriot et al 2006 spines											
N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
11	26.167	18.88	13728.276	0.013728276	NA	0.013728276	linear	1	no	diatom	Stephanodiscus_yellowstonensis
25	22.28	22.79	13599.372	NA	NA	0.013599372	NA	NA	NA	NA	NA
50	26.08	17.02	13470.468	NA	NA	0.013470468	NA	NA	NA	NA	NA
8	23.375	22.84	13212.66	NA	NA	0.01321266	NA	NA	NA	NA	NA
27	25.31	25.15	12954.852	NA	NA	0.012954852	NA	NA	NA	NA	NA
20	22.65	18.45	12439.236	NA	NA	0.012439236	NA	NA	NA	NA	NA
42	23.31	12.46	12310.332	NA	NA	0.012310332	NA	NA	NA	NA	NA
42	22.69	13.39	12181.428	NA	NA	0.012181428	NA	NA	NA	NA	NA
23	26.304	21.32	11859.168	NA	NA	0.011859168	NA	NA	NA	NA	NA
50	29.48	19.93	11730.264	NA	NA	0.011730264	NA	NA	NA	NA	NA
50	29.333	13.7	11472.456	NA	NA	0.011472456	NA	NA	NA	NA	NA
25	29.08	19.32	11343.552	NA	NA	0.011343552	NA	NA	NA	NA	NA
50	31.32	19.98	11214.648	NA	NA	0.011214648	NA	NA	NA	NA	NA
50	27.18	18.28	10956.84	NA	NA	0.01095684	NA	NA	NA	NA	NA
50	25.9	23.36	10699.032	NA	NA	0.010699032	NA	NA	NA	NA	NA
50	23.02	15.86	10441.224	NA	NA	0.010441224	NA	NA	NA	NA	NA
50	22.353	17.11	10247.868	NA	NA	0.010247868	NA	NA	NA	NA	NA
25	23.12	12.36	10183.416	NA	NA	0.010183416	NA	NA	NA	NA	NA
25	23.24	4.94	10118.964	NA	NA	0.010118964	NA	NA	NA	NA	NA
50	24.314	8.9	9990.06	NA	NA	0.00999006	NA	NA	NA	NA	NA
25	22	11.25	9925.608	NA	NA	0.009925608	NA	NA	NA	NA	NA
25	21.16	9.64	9861.156	NA	NA	0.009861156	NA	NA	NA	NA	NA
25	21.28	10.63	9796.704	NA	NA	0.009796704	NA	NA	NA	NA	NA
50	22.98	12.62	9732.252	NA	NA	0.009732252	NA	NA	NA	NA	NA
50	21.44	8.13	9474.444	NA	NA	0.009474444	NA	NA	NA	NA	NA
50	23	6.08	9216.636	NA	NA	0.009216636	NA	NA	NA	NA	NA
50	22.8	7.92	8958.828	NA	NA	0.008958828	NA	NA	NA	NA	NA
50	22.5	9.85	8765.472	NA	NA	0.008765472	NA	NA	NA	NA	NA
50	25.51	18.38	8507.664	NA	NA	0.008507664	NA	NA	NA	NA	NA
50	24.333	10.59	8249.856	NA	NA	0.008249856	NA	NA	NA	NA	NA
50	25.36	14.44	7992.048	NA	NA	0.007992048	NA	NA	NA	NA	NA
50	23.28	9.14	7734.24	NA	NA	0.00773424	NA	NA	NA	NA	NA
50	21.66	9.41	7476.432	NA	NA	0.007476432	NA	NA	NA	NA	NA
50	21.68	13.45	7218.624	NA	NA	0.007218624	NA	NA	NA	NA	NA
50	19.88	4.92	6960.816	NA	NA	0.006960816	NA	NA	NA	NA	NA
50	20.72	8.16	6703.008	NA	NA	0.006703008	NA	NA	NA	NA	NA
50	20.34	6.27	6445.2	NA	NA	0.0064452	NA	NA	NA	NA	NA
50	19.529	10.06	6187.392	NA	NA	0.006187392	NA	NA	NA	NA	NA
50	18.04	8.81	5929.584	NA	NA	0.005929584	NA	NA	NA	NA	NA
50	19.48	4.7	5671.776	NA	NA	0.005671776	NA	NA	NA	NA	NA
56	20.054	5.29	5542.872	NA	NA	0.005542872	NA	NA	NA	NA	NA
50	19.1	11.85	5285.064	NA	NA	0.005285064	NA	NA	NA	NA	NA
50	19.54	12.25	5027.256	NA	NA	0.005027256	NA	NA	NA	NA	NA
50	19.92	7.91	4769.448	NA	NA	0.004769448	NA	NA	NA	NA	NA
50	18.3	7.48	4511.64	NA	NA	0.00451164	NA	NA	NA	NA	NA
50	18.471	7.38	4253.832	NA	NA	0.004253832	NA	NA	NA	NA	NA
50	19.04	9.3	3996.024	NA	NA	0.003996024	NA	NA	NA	NA	NA
50	18.32	11.4	3931.572	NA	NA	0.003931572	NA	NA	NA	NA	NA
50	18.26	8.12	3673.764	NA	NA	0.003673764	NA	NA	NA	NA	NA
50	16.7	7.44	3415.956	NA	NA	0.003415956	NA	NA	NA	NA	NA
50	18.54	6.42	3093.696	NA	NA	0.003093696	NA	NA	NA	NA	NA
50	17.48	4.79	2835.888	NA	NA	0.002835888	NA	NA	NA	NA	NA
50	18.28	11.76	2578.08	NA	NA	0.00257808	NA	NA	NA	NA	NA
50	19.46	10.54	2320.272	NA	NA	0.002320272	NA	NA	NA	NA	NA
50	17.16	9.81	2062.464	NA	NA	0.002062464	NA	NA	NA	NA	NA
50	18.78	5.6	1804.656	NA	NA	0.001804656	NA	NA	NA	NA	NA
50	19.02	7.14	1611.3	NA	NA	0.0016113	NA	NA	NA	NA	NA
50	17.24	4.15	1353.492	NA	NA	0.001353492	NA	NA	NA	NA	NA
50	18.96	8.4	1095.684	NA	NA	0.001095684	NA	NA	NA	NA	NA
50	19.2	10.98	837.876	NA	NA	0.000837876	NA	NA	NA	NA	NA
50	17.98	7.12	580.068	NA	NA	0.000580068	NA	NA	NA	NA	NA
50	17.62	5.75	322.26	NA	NA	0.00032226	NA	NA	NA	NA	NA
50	18.54	10.5	0	NA	NA	0	NA	NA	NA	NA	NA
