#Thierry 1974 G											
N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
16	0.61	0.003025	0.67794	15	1.183332991	0	linear	1	no	echinoid	Pygomalus_ovalis.analis.Collyrites_elliptica.Cardiopelta_bicordata
40	0.58125	0.015015625	1.5603	NA	NA	1.044125698	NA	NA	NA	NA	NA
95	0.56	0.035662109	3.153	NA	NA	2.928820154	NA	NA	NA	NA	NA
9	0.565	0.0036	5.2836	NA	NA	5.450029426	NA	NA	NA	NA	NA
19	0.56	0.005017187	6.0907	NA	NA	6.405097483	NA	NA	NA	NA	NA
49	0.58	0.011962891	6.5749	NA	NA	6.978067317	NA	NA	NA	NA	NA
16	0.54625	0.004225	7.7802	NA	NA	8.404338572	NA	NA	NA	NA	NA
39	0.53375	0.010298438	8.4043	NA	NA	9.142856692	NA	NA	NA	NA	NA
16	0.59	0.00390625	9.2437	NA	NA	10.13614641	NA	NA	NA	NA	NA
47	0.58125	0.01439375	10.051	NA	NA	11.09145113	NA	NA	NA	NA	NA
12	0.55125	0.002479687	11.772	NA	NA	13.12796721	NA	NA	NA	NA	NA
71	0.58875	0.014671484	12.472	NA	NA	13.9563003	NA	NA	NA	NA	NA
21	0.54375	0.005980078	13.053	NA	NA	14.64381677	NA	NA	NA	NA	NA
20	0.5925	0.006125	13.354	NA	NA	15	NA	NA	NA	NA	NA
