#Thierry 1974 I_L											
N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
16	0.93133	0.003628858	0.68079	15	1.183318989	0	linear	1	no	echinoid	Pygomalus_ovalis.analis.Collyrites_elliptica.Cardiopelta_bicordata
40	0.89759	0.013950225	1.5481	NA	NA	1.026304392	NA	NA	NA	NA	NA
95	0.93855	0.031019866	3.1654	NA	NA	2.940086193	NA	NA	NA	NA	NA
9	0.94096	0.002041232	5.2732	NA	NA	5.434285958	NA	NA	NA	NA	NA
19	0.92289	0.007969178	6.0885	NA	NA	6.399045929	NA	NA	NA	NA	NA
49	0.90482	0.010245488	6.5489	NA	NA	6.943845992	NA	NA	NA	NA	NA
16	0.93133	0.00455355	7.7668	NA	NA	8.385010188	NA	NA	NA	NA	NA
39	0.94217	0.006240877	8.3271	NA	NA	9.048023818	NA	NA	NA	NA	NA
16	0.93133	0.003343152	9.1647	NA	NA	10.0391718	NA	NA	NA	NA	NA
47	0.91807	0.011526073	10.023	NA	NA	11.05481449	NA	NA	NA	NA	NA
12	0.91325	0.003413139	11.776	NA	NA	13.12917268	NA	NA	NA	NA	NA
71	0.90843	0.016103056	12.496	NA	NA	13.98116235	NA	NA	NA	NA	NA
21	0.92892	0.003689596	13.003	NA	NA	14.58110508	NA	NA	NA	NA	NA
20	0.91928	0.007430512	13.357	NA	NA	15	NA	NA	NA	NA	NA
