#Thierry 1974 bt_L											
N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
16	0.48037	0.002656372	0.77314	15	1.182885072	0	linear	1	no	echinoid	Pygomalus_ovalis.analis.Collyrites_elliptica.Cardiopelta_bicordata
40	0.50859	0.012659364	1.6026	NA	NA	0.981155852	NA	NA	NA	NA	NA
95	0.52209	0.022354982	3.141	NA	NA	2.800906248	NA	NA	NA	NA	NA
9	0.41043	0.001791829	5.3178	NA	NA	5.375810473	NA	NA	NA	NA	NA
19	0.39939	0.004833648	6.1451	NA	NA	6.354411294	NA	NA	NA	NA	NA
49	0.43006	0.014462468	6.6737	NA	NA	6.979684343	NA	NA	NA	NA	NA
16	0.34172	0.004390388	7.7979	NA	NA	8.309483742	NA	NA	NA	NA	NA
39	0.3135	0.005871563	8.4201	NA	NA	9.045474834	NA	NA	NA	NA	NA
16	0.36503	0.002916	9.2938	NA	NA	10.07896152	NA	NA	NA	NA	NA
47	0.36994	0.007803092	10.122	NA	NA	11.05862694	NA	NA	NA	NA	NA
12	0.37975	0.002823787	11.789	NA	NA	13.03049635	NA	NA	NA	NA	NA
71	0.3638	0.018062578	12.487	NA	NA	13.85615013	NA	NA	NA	NA	NA
21	0.40675	0.004941628	13.081	NA	NA	14.55878387	NA	NA	NA	NA	NA
20	0.35153	0.004706312	13.454	NA	NA	15	NA	NA	NA	NA	NA
