#Thierry 1974 e_L											
N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
16	0.49132	0.00455625	0.75258	15	1.188079288	0	linear	1	no	echinoid	Pygomalus_ovalis.analis.Collyrites_elliptica.Cardiopelta_bicordata
40	0.42139	0.009	1.6051	NA	NA	1.012861354	NA	NA	NA	NA	NA
95	0.41778	0.01484375	3.1525	NA	NA	2.851295244	NA	NA	NA	NA	NA
9	0.40048	0.002376563	5.3238	NA	NA	5.430971801	NA	NA	NA	NA	NA
19	0.40305	0.005410547	6.151	NA	NA	6.413750988	NA	NA	NA	NA	NA
49	0.38685	0.020854248	6.6676	NA	NA	7.027512748	NA	NA	NA	NA	NA
16	0.44445	0.00390625	7.7927	NA	NA	8.364220755	NA	NA	NA	NA	NA
39	0.487	0.008775	8.4136	NA	NA	9.101899184	NA	NA	NA	NA	NA
16	0.48958	0.003025	9.273	NA	NA	10.12293452	NA	NA	NA	NA	NA
47	0.39465	0.009712109	10.105	NA	NA	11.11141649	NA	NA	NA	NA	NA
12	0.3773	0.002929688	11.772	NA	NA	13.09194466	NA	NA	NA	NA	NA
71	0.30236	0.024960938	12.463	NA	NA	13.91290745	NA	NA	NA	NA	NA
21	0.31242	0.005545313	13.075	NA	NA	14.64001198	NA	NA	NA	NA	NA
20	0.27994	0.0037785	13.378	NA	NA	15	NA	NA	NA	NA	NA
