#Thierry 1974 pp_h											
N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
16	0.73742	0.003221698	0.77301	15	1.183993357	0	linear	1	no	echinoid	Pygomalus_ovalis.analis.Collyrites_elliptica.Cardiopelta_bicordata
40	0.66516	0.014984641	1.6212	NA	NA	1.004251325	NA	NA	NA	NA	NA
95	0.66129	0.024701484	3.1135	NA	NA	2.771124612	NA	NA	NA	NA	NA
9	0.60065	0.002731108	5.3144	NA	NA	5.376975592	NA	NA	NA	NA	NA
19	0.62129	0.006647663	6.2163	NA	NA	6.4448192	NA	NA	NA	NA	NA
49	0.56065	0.010791054	6.6779	NA	NA	6.991350534	NA	NA	NA	NA	NA
16	0.47161	0.004855302	7.8482	NA	NA	8.37697796	NA	NA	NA	NA	NA
39	0.49742	0.010146899	8.4494	NA	NA	9.088794766	NA	NA	NA	NA	NA
16	0.64452	0.005221508	9.319	NA	NA	10.11839539	NA	NA	NA	NA	NA
47	0.69742	0.013217946	10.178	NA	NA	11.13544568	NA	NA	NA	NA	NA
12	0.58645	0.003122123	11.799	NA	NA	13.05469891	NA	NA	NA	NA	NA
71	0.60323	0.021545404	12.465	NA	NA	13.84323849	NA	NA	NA	NA	NA
21	0.55935	0.00503549	13.109	NA	NA	14.60573021	NA	NA	NA	NA	NA
20	0.44968	0.007492321	13.442	NA	NA	15	NA	NA	NA	NA	NA
