#Thierry 1974 ps_L											
N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
16	0.55634	0.00349754	0.72772	15	1.172857268	0	linear	1	no	echinoid	Pygomalus_ovalis.analis.Collyrites_elliptica.Cardiopelta_bicordata
40	0.48169	0.017859076	1.5933	NA	NA	1.015201794	NA	NA	NA	NA	NA
95	0.48451	0.03184933	3.0966	NA	NA	2.778358125	NA	NA	NA	NA	NA
9	0.46056	0.002789424	5.3177	NA	NA	5.383391403	NA	NA	NA	NA	NA
19	0.5169	0.008483061	6.2333	NA	NA	6.457259517	NA	NA	NA	NA	NA
49	0.52817	0.019055042	6.7922	NA	NA	7.112769444	NA	NA	NA	NA	NA
16	0.56761	0.00286439	7.8464	NA	NA	8.349195576	NA	NA	NA	NA	NA
39	0.58873	0.00853102	8.5347	NA	NA	9.156473234	NA	NA	NA	NA	NA
16	0.48451	0.003499906	9.3128	NA	NA	10.06907347	NA	NA	NA	NA	NA
47	0.44789	0.0093242	10.148	NA	NA	11.04864386	NA	NA	NA	NA	NA
12	0.47042	0.003719232	11.867	NA	NA	13.06478551	NA	NA	NA	NA	NA
71	0.46197	0.01862174	12.479	NA	NA	13.78257416	NA	NA	NA	NA	NA
21	0.47465	0.005041996	13.167	NA	NA	14.58949996	NA	NA	NA	NA	NA
20	0.40704	0.0052488	13.517	NA	NA	15	NA	NA	NA	NA	NA
